PLAYER INFO,,SNAKE DRAFT STATS,
Rank,Player,AVG PICK,%ROST
581,"SaRodorick Thompson Jr.
FARB",170,0
582,"Louis Rees-Zammit
FARB",170,0
583,"Terrell JenningsQ
FARB",170,0.1
584,"Aaron Shampklin
FARB",170,0
585,"Joshua Cephus
FAWR",170,0
586,"Jaylen Johnson
FAWR",170,0
587,"Erick All Jr.
CINTE",170,0.2
588,"DeeJay Dallas
JAXRB",170,0.1
589,"Treylon Burks
WSHWR",170,0.2
590,"Jaylin Lane
WSHWR",170,0.2
591,"John BatesQ
WSHTE",170,0.1
592,"Kevin Coleman Jr.Q
MIAWR",170,0.2
593,"Tanner Hudson
CINTE",170,0
594,"Daniel Bellinger
TENTE",170,0.1
595,"Ben Sinnott
WSHTE",170,0.1
596,"Elic Ayomanor
TENWR",170,0.3
597,"Foster Moreau
HOUTE",170,0.1
598,"Mason TiptonO
NOWR",170,0.1
599,"Ben SimsQ
MIATE",170,0
600,"Derius Davis
LACWR",170,
