PLAYER INFO,,SNAKE DRAFT STATS,
Rank,Player,AVG PICK,%ROST
126,"Dalton Kincaid
BUFTE",134.9,66
127,"Eagles D/ST
PHID/ST",134.9,84.7
128,"Xavier WorthyQ
KCWR",135.3,71.6
129,"Jayden Reed
GBWR",135.9,68.4
130,"Jacory Croskey-Merritt
WSHRB",136.5,68.8
131,"RJ Harvey
DENRB",136.5,74.9
132,"Deebo Samuel Sr.
SFWR",136.7,66.9
133,"Cam Little
JAXK",137.4,86.7
134,"Jared Goff
DETQB",138.8,62.8
135,"Makai LemonQ
PHIWR",139.8,75.9
136,"Blake Corum
LARRB",140.5,72.2
137,"Quentin JohnstonQ
LACWR",141,70.4
138,"Kenyon SadiqQ
NYJTE",141.6,68.2
139,"Hunter Henry
NETE",143,58.1
140,"Chris Godwin Jr.
TBWR",147.4,68.8
141,"Kyler Murray
MINQB",147.6,55.1
142,"Harrison Butker
KCK",147.6,74.4
143,"Jordan Mason
MINRB",148.3,54.5
144,"Eddy Pineiro
SFK",148.7,79.6
145,"Baker Mayfield
TBQB",148.9,46.9
146,"Patriots D/ST
NED/ST",149.4,71.9
147,"KC Concepcion
CLEWR",150,62.5
148,"Lions D/ST
DETD/ST",151.6,65.6
149,"Woody Marks
HOURB",152.7,57.9
150,"Romeo Doubs
NEWR",153.1,58.6
151,"Browns D/ST
CLED/ST",153.5,58.7
152,"Zach CharbonnetO
SEARB",154.9,56.6
153,"Jake Bates
DETK",155.2,70.1
154,"Tyler Shough
NOQB",155.7,40.8
155,"Alvin KamaraQ
NORB",157.3,45.4
156,"Rashid Shaheed
SEAWR",158.5,37.8
157,"Jordan Love
GBQB",159.4,28
158,"Daniel Jones
INDQB",159.5,29.7
159,"De'Zhaun Stribling
SFWR",160.2,26.5
160,"Isiah PachecoQ
DETRB",160.7,42.5
161,"Jayden HigginsD
HOUWR",161.1,30.2
162,"Jalen Coker
CARWR",161.1,36.8
163,"Sam Darnold
SEAQB",162.5,19.2
164,"Chris Boswell
PITK",162.5,38.3
165,"Chiefs D/ST
KCD/ST",163.1,34.5
166,"Chargers D/ST
LACD/ST",163.3,47.5
167,"Tyler Loop
BALK",163.7,49.1
168,"Juwan Johnson
NOTE",164.2,26.7
169,"Jerry Jeudy
CLEWR",164.4,27.6
170,"Tyjae Spears
TENRB",165,33.2
171,"C.J. Stroud
HOUQB",166.1,17.2
172,"Terrance Ferguson
LARTE",166.1,17.8
173,"Will Reichard
MINK",166.2,29.8
174,"Cowboys D/ST
DALD/ST",166.3,10.1
175,"Brian Robinson Jr.
ATLRB",166.3,17.4
176,"Ja'Kobi Lane
BALWR",166.5,14.8
177,"Tyrone Tracy Jr.
NYGRB",166.6,16.5
178,"Denzel Boston
CLEWR",166.6,18.9
179,"Fernando Mendoza
LVQB",166.7,11.8
180,"Malik Willis
MIAQB",166.9,15
181,"Chris Rodriguez Jr.
JAXRB",167.2,17.5
182,"Cairo Santos
CHIK",167.4,32
183,"Jaguars D/ST
JAXD/ST",167.4,53
184,"Tank DellQ
HOUWR",167.7,20.3
185,"Brenton Strange
JAXTE",167.8,15.9
186,"Dalton Schultz
HOUTE",167.9,13.7
187,"Calvin Ridley
TENWR",168,20.1
188,"Jalen McMillanQ
TBWR",168.1,18.2
189,"Packers D/ST
GBD/ST",168.2,14.8
190,"Tre Tucker
LVWR",168.2,17.4
191,"Tyler Allgeier
ARIRB",168.3,19.9
192,"Vikings D/ST
MIND/ST",168.5,18.9
193,"Tank Bigsby
PHIRB",168.6,15.2
194,"49ers D/ST
SFD/ST",168.6,7.2
195,"Cam Ward
TENQB",168.7,10.1
196,"Trey Smack
GBK",168.7,6.9
197,"Jake Elliott
PHIK",168.7,8.2
198,"Evan McPherson
CINK",168.8,14.5
199,"Bills D/ST
BUFD/ST",168.8,4.8
200,"Pat Freiermuth
PITTE",168.8,11
201,"Bryce Young
CARQB",168.8,8.3
202,"Cooper Kupp
SEAWR",168.9,9.6
203,"Bears D/ST
CHID/ST",169,10.2
204,"AJ Barner
SEATE",169.1,6.3
205,"Aaron Rodgers
PITQB",169.1,5.5
206,"Odell Beckham Jr.
NYGWR",169.2,3
207,"Chase McLaughlin
TBK",169.3,16
208,"Keenan Allen
INDWR",169.3,11.3
209,"Giants D/ST
NYGD/ST",169.4,3
210,"Matt Gay
LVK",169.4,1.4
211,"Darnell Washington
PITTE",169.4,1.8
212,"Dolphins D/ST
MIAD/ST",169.4,0.9
213,"Justin Tucker
FAK",169.5,0.6
214,"Shedeur Sanders
CLEQB",169.5,2.5
215,"Cyrus Allen
KCWR",169.5,4.8
216,"Chig Okonkwo
WSHTE",169.5,8.3
217,"Tyler Bass
BUFK",169.5,3.7
218,"J.J. McCarthy
MINQB",169.6,1.2
219,"Philip Rivers
INDQB",169.6,0.4
220,"Buccaneers D/ST
TBD/ST",169.6,9.9
221,"Commanders D/ST
WSHD/ST",169.6,1.2
222,"Caleb Douglas
MIAWR",169.6,6.2
223,"Wil Lutz
DENK",169.7,4.9
224,"Younghoe Koo
FAK",169.7,0.4
225,"Cole Kmet
CHITE",169.7,0.8
226,"Ben Sauls
NYGK",169.7,0.4
227,"Mike Washington Jr.
LVRB",169.7,9.6
228,"Raiders D/ST
LVD/ST",169.7,1.8
229,"Keaton Mitchell
LACRB",169.7,9.9
230,"Panthers D/ST
CARD/ST",169.7,1.5
231,"David Njoku
LACTE",169.7,4.2
232,"Dawson Knox
BUFTE",169.7,0.9
233,"Ryan Fitzgerald
CARK",169.7,0.7
234,"Cardinals D/ST
ARID/ST",169.7,0.5
235,"Lil'Jordan Humphrey
DENWR",169.7,0.3
236,"Tyreek HillQ
FAWR",169.8,6.4
237,"Drew Allar
PITQB",169.8,0.5
238,"Bengals D/ST
CIND/ST",169.8,2.8
239,"Carson BeckQ
ARIQB",169.8,1.4
240,"Dominic Zvada
NYGK",169.8,1.1
241,"Jason Sanders
NYJK",169.8,0.9
242,"Andre Szmyt
CLEK",169.8,0.5
243,"Jake Moody
FAK",169.8,0.6
244,"Tyler Higbee
LARTE",169.8,0.4
245,"Malachi Fields
NYGWR",169.8,1.9
246,"Joey Slye
TENK",169.8,0.5
247,"Chad Ryland
ARIK",169.9,0.4
248,"Spencer Shrader
INDK",169.9,0.2
249,"Caden Davis
FAK",169.9,0.1
250,"Sal Cannella
FATE",169.9,0.1
251,"KaVontae Turpin
DALWR",169.9,1.1
252,"Elijah Arroyo
SEATE",169.9,0.6
253,"Eli Stowers
PHITE",169.9,1.1
254,"Riley Patterson
MIAK",169.9,0.3
255,"Brock Wright
DETTE",169.9,0.2
256,"Kadarius Toney
FAWR",169.9,0.1
257,"Kirk Cousins
LVQB",169.9,2
258,"Justin Fields
KCQB",169.9,0.6
259,"Noah Gray
KCTE",169.9,0.3
260,"Luke Schoonmaker
DALTE",169.9,0.2
261,"JuJu Smith-SchusterQ
FAWR",169.9,0.2
262,"Tommy DeVito
NEQB",169.9,0.2
263,"Titans D/ST
TEND/ST",169.9,4.8
264,"Luke McCaffrey
WSHWR",169.9,0.4
265,"Jermar Jefferson
MINRB",169.9,0.1
266,"Israel Abanikanda
DALRB",169.9,0.2
267,"Nick Chubb
FARB",169.9,0.3
268,"Ezekiel Elliott
FARB",169.9,0.1
269,"Joe Flacco
CINQB",169.9,0.4
270,"Ty Simpson
LARQB",169.9,0.6
271,"Jameis Winston
NYGQB",169.9,0.4
272,"Kyle JuszczykQ
SFRB",169.9,0.5
273,"Kaden Wetjen
PITWR",169.9,0.2
274,"Ricky PearsallIR
SFWR",169.9,19.4
275,"Brandon McManus
FAK",169.9,0.2
276,"Najee Harris
NYGRB",169.9,2.7
277,"Ja'Tavion Sanders
CARTE",169.9,0.4
278,"Joshua Palmer
BUFWR",169.9,0.3
279,"Elijah HigginsQ
ARITE",169.9,0.2
280,"Josh Oliver
MINTE",169.9,0.2
281,"Zavion Thomas
CHIWR",169.9,0.3
282,"Hollywood Brown
PHIWR",169.9,0.7
283,"Jordan Whittington
LARWR",169.9,0.2
284,"Roman Wilson
PITWR",169.9,0.3
285,"Joshua Dobbs
DETQB",169.9,0.1
286,"Cade Klubnik
NYJQB",169.9,0.2
287,"Trey BensonQ
ARIRB",169.9,0.5
288,"Matt Prater
FAK",169.9,0.2
289,"Jude McAtamney
FAK",169.9,0.1
290,"John Samuel Shenker
FATE",169.9,0.1
291,"Luke Lachey
GBTE",169.9,0
292,"Jets D/ST
NYJD/ST",169.9,1.7
293,"Mac Jones
SFQB",169.9,0.3
294,"Josh Williams
TBRB",169.9,0.1
295,"Tommy Tremble
CARTE",169.9,0.2
296,"Drew Stevens
WSHK",169.9,0.1
297,"Kalif Raymond
CHIWR",169.9,0.2
298,"Isaiah Bond
CLEWR",169.9,0.3
299,"Skyler BellQ
BUFWR",169.9,0.6
300,"Mack Hollins
NEWR",169.9,
301,"Luke MusgraveO
GBTE",169.9,0.2
302,"Brevyn Spann-Ford
DALTE",169.9,0.1
303,"Kenny Pickett
CARQB",169.9,0.1
304,"Jahdae Walker
CHIWR",169.9,0.2
305,"Kyle Allen
BUFQB",169.9,0.1
306,"Drew Lock
SEAQB",169.9,0.1
307,"Myles Price
MINWR",169.9,0.1
308,"Ray-Ray McCloud III
CHIWR",169.9,0.1
309,"Stetson Bennett IV
LARQB",169.9,0.1
310,"Jake Bobo
SEAWR",169.9,0.2
311,"Joe Milton III
DALQB",169.9,0.2
312,"Will Howard
PITQB",169.9,0.2
313,"Teddy Bridgewater
DETQB",169.9,0.1
314,"Russell Wilson
FAQB",169.9,0.1
315,"Cade York
NYJK",169.9,0.1
316,"Jordan Travis
FAQB",169.9,0
317,"Michael Pratt
FAQB",169.9,0
318,"Tyson BagentQ
CHIQB",170,0.2
319,"Colbie Young
CINWR",170,0.2
320,"Eli Raridon
NETE",170,0.4
321,"Noah Fant
NOTE",170,0.2
322,"Adam Trautman
DENTE",170,0.1
323,"Kyle Williams
NEWR",170,0.3
324,"Barion Brown
NOWR",170,0.2
325,"Xavier Smith
LARWR",170,0.1
326,"Tanner McKee
PHIQB",170,0.1
327,"Spencer Rattler
NOQB",170,0.1
328,"Tyler Huntley
BALQB",170,0.1
329,"Jonathan Mingo
DALWR",170,0.1
330,"Quinn EwersQ
MIAQB",170,0.2
331,"Efton Chism III
NEWR",170,0.2
332,"Tim Patrick
NYJWR",170,0.1
333,"Bub Means
NOWR",170,0.1
334,"Austin Seibert
FAK",170,0.1
335,"Dalvin Cook
FARB",170,0.1
336,"Daniel Carlson
FAK",170,0.1
337,"Dustin Hopkins
FAK",170,0.1
338,"DeWayne McBride
FARB",170,0
339,"Tanner Brown
NOK",170,0.1
340,"Parker Romo
FAK",170,0.1
341,"Junior Bergen
NYJWR",170,0
342,"Ja'Corey BrooksQ
FAWR",170,0
343,"Sam Howell
DALQB",170,0.1
344,"Devontez Walker
BALWR",170,0.2
345,"Konata Mumpfield
LARWR",170,0.1
346,"Mo Alie-Cox
INDTE",170,0.1
347,"Jackson Hawes
BUFTE",170,0.1
348,"Hunter Luepke
DALRB",170,0.2
349,"Tez JohnsonQ
TBWR",170,0.3
350,"Jimmy Horn Jr.
CARWR",170,
351,"KeAndre Lambert-Smith
LACWR",170,0.1
352,"Calvin Austin III
NYGWR",170,0.2
353,"Bo Melton
GBWR",170,0.1
354,"CJ Daniels
LARWR",170,0.2
355,"Demarcus Robinson
SFWR",170,0.1
356,"Tyrod Taylor
GBQB",170,0.1
357,"Tai Felton
MINWR",170,0.1
358,"Sam Roush
CHITE",170,0.1
359,"Darius Cooper
PHIWR",170,0.1
360,"Riley Nowakowski
PITRB",170,0.1
361,"Patrick Ricard
NYGRB",170,0.1
362,"Ben Skowronek
PITWR",170,0.1
363,"Braxton Berrios
NYGWR",170,0.1
364,"Skyy Moore
GBWR",170,0.1
365,"Mason Rudolph
PITQB",170,0.1
366,"Dante Pettis
BUFWR",170,0
367,"Marquez Valdes-Scantling
DALWR",170,0.1
368,"AJ Dillon
CARRB",170,0.1
369,"Roschon Johnson
CHIRB",170,0.2
370,"Will Levis
TENQB",170,0.1
371,"Frank Gore Jr.
BUFRB",170,0.1
372,"Jalen Milroe
SEAQB",170,0.2
373,"Devin Neal
NORB",170,0.2
374,"Ulysses Bentley IV
INDRB",170,0.1
375,"Eli Heidenreich
PITRB",170,0.2
376,"Taysom Hill
FATE",170,0.1
377,"Greg Joseph
FAK",170,0
378,"Joe MixonQ
FARB",170,0.3
379,"John Ross
FAWR",170,0
380,"Zane GonzalezQ
FAK",170,0.3
381,"Jimmy Garoppolo
LARQB",170,0.1
382,"Greg ZuerleinQ
FAK",170,0.1
383,"Jacob Kibodi
FARB",170,0
384,"Jermaine Jackson
FAWR",170,0
385,"Tommy Mellott
FAWR",170,0
386,"Adonai Mitchell
NYJWR",170,9.8
387,"Evan Engram
DENTE",170,3.2
388,"Jacob SaylorsQ
DETRB",170,0.1
389,"Max Klare
LARTE",170,0.3
390,"Austin Hooper
ATLTE",170,0.1
391,"Anthony Richardson Sr.
INDQB",170,0.3
392,"Jarrett Stidham
DENQB",170,0.1
393,"Bryce Lance
NOWR",170,0.3
394,"Drew Sample
CINTE",170,0.1
395,"Elijah Sarratt
BALWR",170,0.6
396,"Brenen Thompson
LACWR",170,0.3
397,"Justin Watson
HOUWR",170,0.1
398,"Durham Smythe
BALTE",170,0.1
399,"Oscar Delp
NOTE",170,0.2
400,"Joe RoyerQ
CLETE",170,
401,"Greg Dortch
DETWR",170,0.1
402,"Luke Farrell
SFTE",170,0.1
403,"Mitchell Tinsley
CINWR",170,0.1
404,"Justin Joly
DENTE",170,0.1
405,"Trey Lance
LACQB",170,0.1
406,"Riley Leonard
INDQB",170,0.1
407,"Tyler Conklin
DETTE",170,0.1
408,"Josh Whyle
GBTE",170,0.1
409,"Matthew Hibner
BALTE",170,0.1
410,"Davis Mills
HOUQB",170,0.1
411,"Reggie Virgil
ARIWR",170,0.1
412,"Reggie Gilliam
NERB",170,0.1
413,"Mitchell TrubiskyQ
TENQB",170,0.1
414,"Cedric TillmanQ
CLEWR",170,0.2
415,"Gardner Minshew II
ARIQB",170,0.1
416,"Arian Smith
NYJWR",170,0.1
417,"British BrooksQ
HOURB",170,0
418,"LaJohntay Wester
BALWR",170,0.1
419,"Cooper Rush
ATLQB",170,0
420,"Scotty Miller
CHIWR",170,0.1
421,"Mecole Hardman Jr.
BUFWR",170,0.1
422,"Travis Homer
PITRB",170,0
423,"David Moore
CARWR",170,0.1
424,"Carson Wentz
MINQB",170,0.1
425,"Andy Dalton
PHIQB",170,0.1
426,"Gunner OlszewskiIR
NYGWR",170,0
427,"D'Ernest Johnson
TENRB",170,0
428,"Tom Kennedy
DETWR",170,0.1
429,"Van Jefferson
WSHWR",170,0.1
430,"Albert Okwuegbunam Jr.
LVTE",170,0.1
431,"Zach Wilson
NOQB",170,0.1
432,"Ihmir Smith-Marsette
ARIWR",170,0
433,"D.J. Montgomery
INDWR",170,0
434,"Bailey Zappe
NYJQB",170,0
435,"Julius Chestnut
TENRB",170,0.1
436,"Ronnie Rivers
LARRB",170,0.1
437,"Aidan O'Connell
LVQB",170,0
438,"Jaleel McLaughlin
DENRB",170,0.1
439,"Baylor Cupp
ARITE",170,0
440,"Dillon Gabriel
CLEQB",170,0.1
441,"Gavin Bartholomew
MINTE",170,0
442,"Brady Cook
NYJQB",170,0
443,"Max BrosmerQ
MINQB",170,0
444,"Jam Miller
NERB",170,0.1
445,"Athan Kaliakmanis
WSHQB",170,0
446,"Garrett Nussmeier
KCQB",170,0.1
447,"Michael TriggQ
DALTE",170,0.1
448,"Equanimeous St. Brown
FAWR",170,0
449,"Kareem Hunt
FARB",170,0.2
450,"Michael Badgley
FAK",170,
451,"Austin Ekeler
FARB",170,0.1
452,"Jamaal Williams
FARB",170,0
453,"DeAndre Hopkins
FAWR",170,0.1
454,"Derek Carr
NOQB",170,0.1
455,"Zach ErtzQ
FATE",170,0.2
456,"Graham GanoQ
FAK",170,0.1
457,"Clyde Edwards-Helaire
FARB",170,0
458,"Antonio GibsonQ
FARB",170,0
459,"J.J. Taylor
FARB",170,0
460,"Matthew Wright
FAK",170,0
461,"Anders Carlson
FAK",170,0
462,"Dorian Thompson-Robinson
FAQB",170,0
463,"Clayton Tune
FAQB",170,0
464,"Max Duggan
FAQB",170,0
465,"Joshua Karty
FAK",170,0
466,"Devin Leary
FAQB",170,0
467,"Brayden Narveson
FAK",170,0
468,"Thomas Odukoya
FATE",170,0
469,"D.J. WilliamsQ
FARB",170,0
470,"Jonah Coleman
DENRB",170,6.5
471,"Marcus MariotaQ
WSHQB",170,0.2
472,"Kendrick Bourne
ARIWR",170,0.2
473,"Malik Benson
LVWR",170,0.2
474,"Dyami Brown
WSHWR",170,0.3
475,"Isaiah Williams
NYJWR",170,0.1
476,"Will Kacmarek
MIATE",170,0.1
477,"Charlie Kolar
LACTE",170,0.1
478,"Cade Stover
HOUTE",170,0.1
479,"Olamide Zaccheaus
ATLWR",170,0.2
480,"Jeremy Ruckert
NYJTE",170,0.1
481,"Davis AllenQ
LARTE",170,0
482,"Nate Adkins
DENTE",170,0
483,"Nate Boerkircher
JAXTE",170,0.1
484,"Jalen Royals
KCWR",170,0.2
485,"Payne Durham
TBTE",170,0.1
486,"Alec Ingold
LACRB",170,0.1
487,"Dont'e Thornton Jr.Q
LVWR",170,0.2
488,"Tyrell ShaversO
BUFWR",170,0.1
489,"Adam Prentice
DENRB",170,0.1
490,"Connor Heyward
LVRB",170,0.1
491,"Michael Burton
CLERB",170,0.1
492,"Max Bredeson
MINRB",170,0.1
493,"Malachi Corley
CLEWR",170,0.1
494,"Ko Kieft
TBTE",170,0
495,"Marlin Klein
HOUTE",170,0.1
496,"Drew Ogletree
INDTE",170,0
497,"Josh Cuevas
BALTE",170,0
498,"Eric Saubert
SEATE",170,0.1
499,"Andrew Beck
NYJRB",170,0.1
500,"Chris Manhertz
NYGTE",170,
501,"Jalen Reagor
MIAWR",170,0
502,"Charlie Jones
CINWR",170,0.1
503,"Britain CoveyQ
PHIWR",170,0.1
504,"Nikko Remigio
KCWR",170,0.1
505,"Josh Cameron
JAXWR",170,0.1
506,"Jalen Brooks
ARIWR",170,0.1
507,"Mason Kinsey
TENWR",170,0
508,"Robert Tonyan
PITTE",170,0.1
509,"River CracraftQ
FAWR",170,0
510,"Cedrick Wilson Jr.
DETWR",170,0.1
511,"Brandon Allen
NYGQB",170,0
512,"Dare Ogunbowale
LVRB",170,0
513,"KhaDarel Hodge
SFWR",170,0
