RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
17,James Cook III   BUF,RB,16,16.2,25.5,17.8,19.5,4.9,8.7,BYE,33.6,12.5,5.7,17.4,18.9,15.7,9.1,29.1,25.4,7.7,16.7,267.7
18,De'Von Achane   MIA,RB,16,13.5,18.2,9.1,16.1,10.6,27.0,9.8,15.1,10.6,34.5,16.5,BYE,19.4,16.5,12.7,15.0,11.2,16.0,255.8
19,Derrick Henry   BAL,RB,16,28.2,2.3,9.7,5.8,9.3,13.0,BYE,19.1,12.1,8.4,18.2,20.8,16.4,10.2,10.0,22.8,45.6,15.7,251.9
20,Jordan Love   GB,QB,15,15.9,20.9,12.1,26.3,BYE,16.0,13.4,28.3,10.0,7.8,17.7,7.1,25.8,20.3,15.9,3.8,,16.1,241.1
21,Sam Darnold   SEA,QB,16,5.4,17.8,16.7,16.1,28.6,20.0,9.6,BYE,28.2,5.9,8.3,17.7,3.1,23.3,11.3,21.5,7.1,15.0,240.6
22,Daniel Jones   IND,QB,13,29.5,22.8,15.8,12.4,16.7,23.5,22.2,23.2,17.1,16.5,BYE,16.8,16.1,1.8,,,,18.0,234.4
23,Jaxon Smith-Njigba   SEA,WR,16,10.4,10.3,15.6,9.0,19.2,22.2,18.3,BYE,14.0,15.3,11.6,29.1,2.3,21.1,11.3,15.6,7.2,14.5,232.5
24,Puka Nacua   LAR,WR,15,13.1,19.6,11.8,23.0,14.5,2.8,,BYE,15.8,12.4,7.3,9.7,7.2,28.7,18.9,34.5,10.7,15.3,230.0
25,Jaxson Dart   NYG,QB,13,,-0.3,0.3,19.8,17.6,23.6,29.4,19.4,27.2,26.3,,,13.6,BYE,23.1,1.0,25.1,17.4,226.2
26,Kyren Williams   LAR,RB,16,12.9,8.0,17.2,7.4,23.1,14.7,6.5,BYE,17.4,20.4,15.6,4.8,13.2,15.7,20.8,8.5,13.0,13.7,219.2
27,Jacoby Brissett   ARI,QB,13,,0.2,,,0.0,21.7,19.8,BYE,24.8,19.4,23.9,18.7,20.6,20.0,21.6,11.6,16.5,16.8,218.8
28,Aaron Rodgers   PIT,QB,15,25.7,12.4,12.7,12.8,BYE,17.5,24.6,16.8,12.1,8.4,9.4,,2.7,20.5,17.0,15.5,7.3,14.4,215.3
29,Travis Etienne Jr.   JAC,RB,16,15.6,14.9,11.6,18.5,5.8,5.5,5.5,BYE,11.5,13.7,19.3,17.6,4.1,20.2,28.5,12.6,9.2,13.4,214.1
30,Bryce Young   CAR,QB,15,10.2,22.3,11.6,10.3,13.0,19.5,10.5,,4.0,2.6,31.8,10.3,22.5,BYE,15.4,17.6,9.9,14.1,211.5
31,Javonte Williams   DAL,RB,16,18.4,19.0,7.2,16.0,25.9,3.4,17.8,16.9,6.3,BYE,9.3,10.1,14.0,12.7,15.1,4.3,11.4,13.0,207.8
32,Josh Jacobs   GB,RB,15,13.0,14.4,7.4,27.7,BYE,27.0,17.8,10.5,16.0,14.7,4.0,,9.1,15.2,21.2,2.8,0.3,13.4,201.1
33,Lamar Jackson   BAL,QB,12,29.4,26.3,27.0,11.7,,,BYE,,25.6,16.6,6.7,7.2,7.5,22.1,15.6,4.7,,16.7,200.4
34,C.J. Stroud   HOU,QB,13,9.7,15.0,12.4,18.4,28.8,BYE,14.7,22.7,4.4,,,,10.0,12.6,23.4,11.5,15.8,15.3,199.3
35,Chase Brown   CIN,RB,16,11.1,6.5,2.0,7.1,4.8,6.9,10.0,22.5,11.2,BYE,12.7,13.0,11.3,15.5,9.0,28.9,26.1,12.4,198.6
36,George Pickens   DAL,WR,16,3.0,12.8,12.8,25.4,11.7,22.8,8.2,7.8,7.9,BYE,20.4,20.6,10.8,3.7,3.3,19.0,7.8,12.4,198.0
37,Saquon Barkley   PHI,RB,16,14.4,15.4,5.5,13.4,14.8,6.7,4.2,29.4,BYE,10.1,9.0,5.4,5.6,18.2,15.2,21.2,6.8,12.2,195.3
38,Jason Myers   SEA,K,16,8.0,9.0,17.0,14.0,5.0,10.0,10.0,BYE,9.0,15.0,15.0,13.0,19.0,14.0,24.0,2.0,10.0,12.1,194.0
39,Amon-Ra St. Brown   DET,WR,16,4.5,30.2,13.7,19.0,10.0,4.7,14.6,BYE,9.7,11.8,4.2,20.9,0.0,9.2,28.4,5.4,6.8,12.1,193.1
40,Geno Smith   LV,QB,15,18.5,6.2,26.1,12.8,7.9,9.7,2.8,BYE,27.3,5.4,13.9,14.2,13.0,9.0,,15.0,9.1,12.7,190.9
41,D'Andre Swift   CHI,RB,15,6.5,10.9,7.8,12.0,BYE,23.5,19.8,13.1,,9.8,9.0,0.9,19.8,8.2,21.6,7.0,19.9,12.7,189.8
42,Cam Ward   TEN,QB,16,2.5,9.8,13.0,5.5,9.0,7.9,11.2,13.8,6.4,BYE,13.1,23.9,6.3,12.1,15.0,18.0,17.0,11.5,184.5
43,Trey McBride   ARI,TE,16,6.1,7.8,10.3,5.2,4.1,13.2,19.4,BYE,11.5,18.7,17.5,7.9,14.2,5.8,25.4,2.7,13.6,11.5,183.4
44,Brandon Aubrey   DAL,K,16,11.0,22.0,8.0,8.0,7.0,9.0,17.0,6.0,5.0,BYE,9.0,7.0,12.0,23.0,16.6,5.0,17.0,11.4,182.6
45,Brock Purdy   SF,QB,8,18.8,,,19.7,,,,,,,19.3,10.3,17.1,BYE,26.2,31.9,37.9,22.7,181.2
46,Ashton Jeanty   LV,RB,16,10.0,4.4,6.3,31.5,10.9,14.6,3.4,BYE,14.9,12.3,3.4,16.8,6.1,3.8,4.2,30.8,7.3,11.3,180.7
47,Rico Dowdle   CAR,RB,16,1.6,1.9,9.8,3.0,29.4,29.9,9.6,5.4,26.1,12.3,10.0,7.4,7.9,BYE,11.4,4.3,6.3,11.0,176.3
48,Tua Tagovailoa   MIA,QB,14,7.3,19.6,13.8,15.7,22.7,9.6,1.6,24.2,9.5,12.8,6.8,BYE,5.7,9.1,17.2,,,12.6,175.7
49,Ja'Marr Chase   CIN,WR,15,2.6,22.5,3.9,2.3,23.0,15.1,22.1,9.1,11.1,BYE,3.0,,11.0,5.2,13.2,10.9,18.0,11.5,173.0
50,Breece Hall   NYJ,RB,16,14.5,3.8,5.2,11.1,13.5,5.9,5.2,30.9,BYE,18.5,6.4,9.9,13.6,4.3,3.7,6.3,18.9,10.7,171.7
