RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
149,Buffalo Bills   BUF,DST,16,0.0,10.0,2.0,6.0,6.0,4.0,BYE,17.0,5.0,3.0,4.0,6.0,15.0,10.0,4.0,8.0,5.0,6.6,105.0
149,Matt Prater   BUF,K,14,12.0,14.0,8.0,7.0,9.0,2.0,BYE,12.0,4.0,1.0,8.0,8.0,8.0,7.0,5.0,,,7.5,105.0
151,J.K. Dobbins   DEN,RB,10,12.8,14.5,14.3,10.5,14.4,4.0,8.0,12.1,5.9,8.4,,BYE,,,,,,10.5,104.9
151,Tyrone Tracy Jr.   NYG,RB,14,3.5,5.1,3.6,,,0.6,10.6,5.3,3.7,7.1,13.9,13.0,3.3,BYE,21.7,7.8,5.7,7.5,104.9
153,Cam Skattebo   NYG,RB,8,0.9,11.9,18.1,11.0,8.4,29.0,15.4,9.0,,,,,,BYE,,,,13.0,103.7
153,Omarion Hampton   LAC,RB,9,6.1,2.5,18.9,22.5,7.0,,,,,,,BYE,,12.7,6.5,15.5,12.0,11.5,103.7
155,Spencer Rattler   NO,QB,9,11.5,21.7,12.7,13.9,15.1,11.1,13.5,3.6,,,BYE,,,,0.0,,,11.5,103.1
156,Los Angeles Chargers   LAC,DST,16,2.0,13.0,3.0,6.0,3.0,8.0,-3.0,11.0,5.0,15.0,-2.0,BYE,8.0,12.0,13.0,4.0,5.0,6.4,103.0
156,Andre Szmyt   CLE,K,16,5.0,5.0,9.0,4.0,5.0,11.0,7.0,1.0,BYE,9.0,11.0,8.0,0.0,5.0,5.0,9.0,9.0,6.4,103.0
158,Rome Odunze   CHI,WR,12,9.7,24.8,12.2,12.9,BYE,3.2,3.1,11.4,0.0,14.6,4.1,5.3,0.8,,,,,8.5,102.1
159,George Kittle   SF,TE,10,8.5,,,,,,0.0,10.3,2.9,14.4,18.7,7.8,6.7,BYE,14.8,17.5,,10.2,101.6
160,Tre Tucker   LV,WR,16,11.4,1.9,32.9,2.2,7.1,7.0,3.3,BYE,3.8,3.5,10.7,2.8,2.0,2.4,0.0,5.4,4.9,6.3,101.3
161,Kimani Vidal   LAC,RB,12,,,,0.0,1.9,19.8,3.5,18.7,3.0,16.8,1.2,BYE,19.7,10.4,4.8,1.1,,8.4,100.9
162,Indianapolis Colts   IND,DST,16,13.0,1.0,15.0,5.0,17.0,4.0,7.0,7.0,5.0,5.0,BYE,8.0,5.0,1.0,2.0,-1.0,6.0,6.3,100.0
163,Rachaad White   TB,RB,16,1.6,12.6,1.4,4.6,19.1,14.6,4.4,6.1,BYE,5.4,6.2,4.2,2.9,5.5,2.6,6.0,1.7,6.2,98.9
164,Juwan Johnson   NO,TE,16,7.6,10.9,5.1,2.8,1.7,-0.5,7.9,5.3,9.1,15.2,BYE,4.6,3.9,3.8,3.0,8.9,9.5,6.2,98.8
165,Bucky Irving   TB,RB,9,10.5,12.1,9.9,20.5,,,,,BYE,,,,14.1,14.1,7.1,7.1,3.3,11.0,98.7
166,Kirk Cousins   ATL,QB,9,,,1.2,,BYE,,,7.1,,,2.1,15.5,13.4,4.5,26.9,18.6,9.1,10.9,98.3
167,Keenan Allen   LAC,WR,16,12.8,12.1,12.5,3.7,5.8,2.7,17.9,4.4,4.1,1.9,5.3,BYE,3.0,2.2,3.6,4.4,1.7,6.1,98.1
168,Christian Watson   GB,WR,10,,,,,BYE,,,8.5,5.8,4.5,16.6,4.9,14.3,20.9,2.9,1.7,17.3,9.7,97.4
168,Rashid Shaheed   SEA,WR,17,3.3,11.2,4.2,5.2,17.4,2.8,4.0,5.5,6.8,2.3,2.9,0.5,1.6,12.7,7.1,9.1,0.8,5.7,97.4
170,Rashee Rice   KC,WR,8,,,,,,,16.2,16.5,14.6,BYE,3.8,16.1,21.4,3.4,5.1,,,12.1,97.1
171,Miami Dolphins   MIA,DST,16,0.0,8.0,1.0,8.0,7.0,2.0,2.0,7.0,1.0,13.0,9.0,BYE,11.0,16.0,2.0,-2.0,12.0,6.1,97.0
172,Jakobi Meyers   JAC,WR,15,9.7,6.8,6.3,3.0,3.2,3.9,,BYE,2.3,4.1,6.4,11.0,15.3,10.8,7.1,4.6,1.9,6.4,96.4
173,Carolina Panthers   CAR,DST,16,2.0,3.0,22.0,-3.0,3.0,0.0,17.0,-2.0,9.0,5.0,2.0,7.0,13.0,BYE,6.0,5.0,7.0,6.0,96.0
174,Khalil Shakir   BUF,WR,16,6.4,1.2,10.5,12.9,5.0,3.3,BYE,14.8,4.3,5.8,-0.3,9.0,0.5,7.6,6.5,3.4,3.5,5.9,94.4
175,AJ Barner   SEA,TE,16,0.2,8.8,2.3,9.2,17.3,7.1,0.9,BYE,8.5,0.3,7.1,1.8,3.7,2.7,2.7,11.0,10.3,5.9,93.9
176,Chuba Hubbard   CAR,RB,14,14.9,13.7,7.6,6.9,,,5.5,9.4,1.7,1.5,2.8,4.3,18.4,BYE,3.8,3.4,-0.2,6.7,93.7
177,Baltimore Ravens   BAL,DST,16,-3.0,15.0,-4.0,-3.0,-2.0,5.0,BYE,4.0,15.0,8.0,9.0,11.0,2.0,0.0,23.0,7.0,6.0,5.8,93.0
177,Detroit Lions   DET,DST,16,0.0,8.0,8.0,19.0,10.0,2.0,12.0,BYE,7.0,2.0,2.0,3.0,-1.0,10.0,0.0,4.0,7.0,5.8,93.0
179,Jordan Addison   MIN,WR,13,,,,11.4,10.1,BYE,12.8,8.6,6.4,3.5,8.0,0.0,3.6,6.2,6.6,2.6,12.5,7.1,92.3
180,Tampa Bay Buccaneers   TB,DST,16,2.0,4.0,14.0,4.0,0.0,11.0,8.0,26.0,BYE,2.0,2.0,0.0,7.0,5.0,2.0,2.0,3.0,5.8,92.0
180,Colston Loveland   CHI,TE,15,1.2,0.0,3.1,,BYE,1.1,2.4,3.8,23.8,5.5,4.0,10.9,2.8,8.9,6.1,3.0,15.4,6.1,92.0
182,Matt Gay   SF,K,12,3.0,6.0,14.0,18.0,9.0,8.0,2.0,,2.0,5.0,7.0,9.0,8.0,BYE,,,,7.6,91.0
183,Aaron Jones Sr.   MIN,RB,12,12.7,2.3,,,,BYE,,3.0,9.8,12.9,8.1,5.7,0.5,7.6,6.5,9.3,12.3,7.6,90.7
184,Shedeur Sanders   CLE,QB,7,,,,,,,,,BYE,,2.5,11.3,10.6,34.5,6.5,13.2,11.4,12.8,89.9
185,Tennessee Titans   TEN,DST,16,10.0,4.0,-4.0,2.0,15.0,5.0,4.0,-1.0,20.0,BYE,5.0,6.0,3.0,7.0,0.0,10.0,3.0,5.6,89.0
186,Kayshon Boutte   NE,WR,13,10.3,7.6,2.8,1.8,4.3,21.3,11.5,13.5,0.0,,,1.5,9.5,BYE,3.0,1.6,,6.8,88.7
187,Dalton Schultz   HOU,TE,16,2.8,2.9,3.9,3.0,6.0,BYE,9.8,2.4,7.7,11.3,5.1,0.8,5.5,2.2,13.6,9.5,1.9,5.5,88.4
188,Daniel Carlson   LV,K,16,11.0,12.0,4.0,6.0,6.0,10.0,0.0,BYE,5.0,1.0,11.0,5.0,2.0,6.0,0.0,3.0,5.0,5.4,87.0
189,Marvin Harrison Jr.   ARI,WR,12,13.1,2.7,4.4,12.6,9.8,3.2,5.8,BYE,15.6,11.3,,,6.9,,,1.4,0.0,7.2,86.8
190,Brian Thomas Jr.   JAC,WR,13,8.0,4.9,5.5,5.6,8.0,15.0,3.1,BYE,5.5,,,,2.8,8.7,13.1,1.8,3.9,6.6,85.9
191,Tucker Kraft   GB,TE,8,7.9,18.4,2.9,5.6,BYE,10.3,11.8,26.3,2.0,,,,,,,,,10.6,85.2
192,Sean Tucker   TB,RB,16,0.2,0.0,0.0,0.0,-0.1,8.5,0.6,10.2,BYE,5.1,32.0,4.6,0.0,8.9,6.7,6.3,0.8,5.2,83.8
193,Theo Johnson   NYG,TE,15,0.5,3.4,1.0,7.7,15.3,2.7,12.6,2.0,8.7,7.5,3.6,7.7,2.9,BYE,7.2,0.0,,5.5,82.8
194,Hollywood Brown   KC,WR,15,9.9,3.0,4.2,9.8,4.8,16.5,7.4,0.0,7.3,BYE,4.0,1.0,8.0,3.5,,2.2,0.7,5.5,82.3
194,Dalton Kincaid   BUF,TE,11,10.8,3.7,12.6,8.8,10.8,,BYE,2.3,16.1,3.7,,,,10.1,3.4,0.0,,7.5,82.3
196,Mark Andrews   BAL,TE,16,0.5,0.4,21.1,3.0,2.2,2.6,BYE,3.4,14.6,7.4,12.7,1.1,4.7,0.9,1.8,2.4,2.8,5.1,81.6
197,Kansas City Chiefs   KC,DST,16,3.0,3.0,12.0,8.0,7.0,2.0,13.0,10.0,2.0,BYE,2.0,1.0,1.0,4.0,7.0,2.0,4.0,5.1,81.0
198,Kyler Murray   ARI,QB,5,18.3,15.0,14.1,18.1,15.3,,,BYE,,,,,,,,,,16.2,80.8
199,Devin Singletary   NYG,RB,16,0.9,0.0,1.1,2.8,2.4,1.0,0.2,2.8,5.1,7.3,16.7,4.7,16.2,BYE,1.4,4.6,13.0,5.0,80.2
199,Jayden Higgins   HOU,WR,16,3.2,2.8,0.5,8.4,3.2,BYE,0.0,9.4,0.4,10.2,5.5,9.8,6.5,3.4,0.4,1.7,14.8,5.0,80.2
201,Oronde Gadsden II   LAC,TE,14,,,4.6,1.6,1.4,4.8,22.4,13.7,6.8,1.3,4.1,BYE,2.7,0.7,6.1,0.7,9.2,5.7,80.1
202,Arizona Cardinals   ARI,DST,16,5.0,13.0,6.0,5.0,7.0,2.0,1.0,BYE,15.0,6.0,-1.0,17.0,3.0,-4.0,-1.0,7.0,-1.0,5.0,80.0
202,Zane Gonzalez   ATL,K,8,,,,,BYE,,,,,6.0,12.0,15.0,8.0,10.0,6.0,10.0,13.0,10.0,80.0
204,Luther Burden III   CHI,WR,14,-0.3,0.5,16.8,-0.4,BYE,5.1,2.1,-0.1,,5.1,2.7,6.1,3.6,7.0,8.4,,19.8,5.5,76.4
204,Zach Ertz   WAS,TE,13,8.6,12.4,3.8,4.1,0.0,10.3,9.7,1.6,4.6,5.4,4.2,BYE,10.6,1.1,,,,5.9,76.4
206,Chimere Dike   TEN,WR,16,0.9,0.8,0.5,-0.4,1.7,0.8,12.9,9.4,6.5,BYE,1.4,16.4,-1.1,8.4,1.0,10.0,6.2,4.7,75.4
207,Carson Wentz   MIN,QB,5,,,15.3,23.2,14.7,BYE,13.3,8.8,,,,,,,,,,15.1,75.3
207,Nick Chubb   HOU,RB,15,6.0,13.2,4.0,6.2,12.1,BYE,1.1,6.9,3.4,5.2,1.7,1.5,9.4,0.3,,4.2,0.1,5.0,75.3
209,Emanuel Wilson   GB,RB,16,0.4,0.0,2.5,8.1,BYE,0.7,1.5,8.7,1.7,0.4,12.9,24.5,1.4,1.0,0.3,8.2,2.4,4.7,74.7
209,Chris Rodriguez Jr.   WAS,RB,12,,,3.9,5.9,0.7,0.0,7.2,0.2,12.5,7.6,8.5,BYE,10.1,5.2,,12.9,,6.2,74.7
211,Green Bay Packers   GB,DST,16,10.0,5.0,8.0,-3.0,BYE,2.0,8.0,5.0,4.0,6.0,7.0,18.0,3.0,3.0,1.0,0.0,-3.0,4.6,74.0
212,Jake Moody   WAS,K,8,5.0,,,,,16.0,14.0,,,,,BYE,8.0,0.0,13.0,4.0,13.0,9.1,73.0
213,Josh Downs   IND,WR,15,1.2,5.1,3.4,2.4,5.4,10.2,,9.9,9.7,0.3,BYE,1.0,4.4,2.3,7.3,6.8,3.4,4.9,72.8
214,Dillon Gabriel   CLE,QB,10,,4.8,,0.0,16.1,8.8,5.8,13.5,BYE,20.1,2.9,,0.0,,,0.0,,7.2,72.1
215,New York Giants   NYG,DST,16,3.0,1.0,2.0,7.0,1.0,8.0,1.0,0.0,3.0,0.0,2.0,4.0,2.0,BYE,5.0,15.0,18.0,4.5,72.0
215,San Francisco 49ers   SF,DST,16,9.0,5.0,5.0,0.0,7.0,0.0,8.0,2.0,2.0,-3.0,6.0,9.0,11.0,BYE,0.0,12.0,-1.0,4.5,72.0
217,Colby Parkinson   LAR,TE,14,-2.6,,0.0,1.7,0.0,,4.7,BYE,1.0,10.1,7.4,10.1,2.7,9.2,19.5,2.1,5.3,5.1,71.2
218,Bam Knight   ARI,RB,12,,0.0,,0.0,8.4,11.4,6.4,BYE,4.7,3.3,10.5,9.2,13.8,3.4,-0.2,,,5.9,70.9
219,Elic Ayomanor   TEN,WR,15,1.3,11.6,9.8,4.4,1.8,2.7,2.9,5.2,4.6,BYE,1.1,,0.5,7.4,1.7,5.8,9.7,4.7,70.5
219,Terry McLaurin   WAS,WR,9,2.7,4.8,7.4,,,,,11.4,,,,BYE,15.6,4.1,12.9,5.3,6.3,7.8,70.5
221,Bhayshul Tuten   JAC,RB,14,1.1,13.4,8.1,2.2,1.1,2.8,2.2,BYE,8.6,1.0,13.4,1.7,7.9,-1.5,8.3,,,5.0,70.3
222,Washington Commanders   WAS,DST,16,9.0,2.0,11.0,2.0,13.0,5.0,-1.0,6.0,-2.0,-2.0,4.0,BYE,3.0,3.0,9.0,3.0,5.0,4.4,70.0
223,Jerry Jeudy   CLE,WR,16,6.6,5.1,1.7,4.8,1.5,4.3,1.7,0.0,BYE,13.8,2.1,1.9,2.6,13.6,2.2,1.2,5.4,4.3,68.5
224,Isiah Pacheco   KC,RB,13,2.8,2.9,4.8,10.8,5.6,5.1,11.4,5.8,,BYE,,,3.3,3.0,2.1,7.5,3.2,5.3,68.3
225,Xavier Worthy   KC,WR,14,0.0,,,12.1,5.1,8.6,4.8,5.3,3.0,BYE,2.5,5.9,7.4,5.5,3.5,4.1,0.1,4.9,67.9
226,Chig Okonkwo   TEN,TE,16,1.9,3.5,6.6,0.4,4.8,4.6,0.0,5.3,1.0,BYE,5.6,4.0,2.9,2.0,3.3,10.4,11.5,4.2,67.8
227,Alvin Kamara   NO,RB,11,11.7,10.0,5.6,7.2,5.5,7.6,2.9,4.5,-0.3,11.5,BYE,1.5,,,,,,6.2,67.7
228,Pat Freiermuth   PIT,TE,16,2.8,3.1,0.6,0.0,BYE,1.1,23.1,1.3,8.7,3.3,1.9,7.9,0.0,0.9,4.5,2.0,6.3,4.2,67.5
229,Mack Hollins   NE,WR,15,0.3,6.8,2.7,6.4,0.0,2.8,5.3,8.9,0.9,10.6,6.4,3.0,2.3,BYE,4.1,6.9,,4.5,67.4
229,Cooper Kupp   SEA,WR,15,1.5,9.0,3.1,2.6,5.9,10.0,2.2,BYE,,7.4,2.3,2.4,2.4,9.5,4.6,3.9,0.6,4.5,67.4
231,Ryan Flournoy   DAL,WR,14,,0.0,2.1,2.6,12.4,3.3,0.0,0.7,7.2,BYE,6.2,0.0,3.4,17.5,4.0,7.8,,4.8,67.2
232,Cincinnati Bengals   CIN,DST,16,7.0,5.0,-1.0,1.0,2.0,3.0,3.0,-4.0,6.0,BYE,1.0,10.0,12.0,4.0,7.0,6.0,5.0,4.2,67.0
232,Harrison Mevis   LAR,K,8,,,,,,,,BYE,,6.0,3.0,13.0,4.0,9.0,12.0,14.0,6.0,8.4,67.0
232,Davis Mills   HOU,QB,5,,,,,1.2,BYE,,,6.2,28.7,16.4,14.5,,,,,,13.4,67.0
235,Sam LaPorta   DET,TE,9,7.9,2.6,3.3,3.9,15.2,11.5,1.5,BYE,15.7,5.3,,,,,,,,7.4,66.9
236,Jalen Nailor   MIN,WR,16,2.8,3.1,3.7,8.2,4.2,BYE,3.7,0.0,1.6,18.4,1.6,0.0,0.0,3.0,16.5,0.0,0.0,4.2,66.8
237,Darren Waller   MIA,TE,9,,,,14.7,13.8,7.2,0.0,,,,,BYE,4.7,1.7,18.6,4.0,0.0,7.2,64.7
238,Tyrod Taylor   NYJ,QB,6,,8.3,17.7,,,,4.1,,BYE,,,13.8,21.3,-0.8,,,,10.7,64.5
239,Tyjae Spears   TEN,RB,12,,,,,1.4,5.0,4.0,14.2,6.2,BYE,3.4,2.5,2.4,4.7,3.6,16.5,0.1,5.3,64.0
240,Garrett Wilson   NYJ,WR,7,15.5,5.0,14.4,14.2,13.1,1.3,,,BYE,0.0,,,,,,,,9.1,63.5
241,Tez Johnson   TB,WR,15,0.0,,0.0,1.3,6.1,10.5,11.8,4.3,BYE,16.2,0.6,9.3,0.5,0.0,0.0,-0.1,1.9,4.2,62.4
242,Michael Carter   ARI,RB,12,,,,0.1,13.3,6.4,3.6,BYE,,0.4,2.8,5.8,6.4,3.1,9.4,6.5,4.3,5.2,62.1
243,Michael Badgley   BUF,K,9,,,,,,8.0,6.0,9.0,12.0,8.0,,8.0,5.0,,,6.0,0.0,6.9,62.0
244,Malik Washington   MIA,WR,16,2.9,8.5,3.2,2.1,0.0,2.3,3.0,9.6,4.1,7.3,4.2,BYE,3.0,1.0,1.0,9.2,0.5,3.9,61.9
244,DeMario Douglas   NE,WR,16,6.2,0.8,0.7,0.0,1.7,13.1,1.7,4.7,16.0,3.4,3.1,5.1,3.3,BYE,0.5,0.6,1.0,3.9,61.9
246,Tyquan Thornton   KC,WR,14,4.1,11.9,13.1,7.1,9.0,0.0,3.9,0.0,0.0,BYE,6.1,0.0,0.0,1.9,4.7,,,4.4,61.8
246,T.J. Hockenson   MIN,TE,15,1.5,1.2,10.9,3.9,3.8,BYE,4.3,2.6,7.1,0.8,3.9,1.9,5.9,7.2,6.6,0.2,,4.1,61.8
248,Brenton Strange   JAC,TE,11,5.9,1.7,6.1,4.5,2.2,,,BYE,,,,9.3,10.5,2.7,2.6,9.9,5.4,5.5,60.8
249,Jake Tonges   SF,TE,16,7.5,3.1,2.1,11.8,10.1,5.8,0.0,6.2,0.0,0.0,0.0,0.0,0.0,BYE,0.0,0.7,12.0,3.7,59.3
249,Dawson Knox   BUF,TE,16,2.0,1.9,0.0,0.0,1.5,7.9,BYE,1.5,3.0,3.7,2.3,1.7,2.8,11.3,15.7,1.0,3.0,3.7,59.3
251,Ty Johnson   BUF,RB,16,2.4,0.6,2.1,0.0,1.0,1.6,BYE,0.6,8.0,2.6,13.0,5.2,2.5,3.9,2.8,7.6,4.8,3.7,58.7
252,Isaac TeSlaa   DET,WR,16,7.3,2.9,0.0,0.0,7.2,0.0,0.0,BYE,0.0,1.1,0.0,0.0,9.5,8.0,0.0,11.2,10.9,3.6,58.1
253,Joshua Karty   ARI,K,8,2.0,9.0,17.0,10.0,6.0,5.0,5.0,BYE,4.0,,,,,,,,,7.3,58.0
254,KaVontae Turpin   DAL,WR,14,2.7,11.3,6.8,3.4,,,1.7,-0.2,1.3,BYE,0.0,3.2,6.1,3.0,1.2,2.7,14.6,4.1,57.8
255,Keon Coleman   BUF,WR,12,17.2,2.6,2.0,4.5,6.3,1.1,BYE,3.0,1.7,10.6,,,6.9,1.6,0.0,,,4.8,57.5
256,Las Vegas Raiders   LV,DST,16,10.0,5.0,-1.0,3.0,-4.0,16.0,0.0,BYE,2.0,10.0,2.0,5.0,4.0,3.0,0.0,1.0,1.0,3.6,57.0
256,Spencer Shrader   IND,K,5,16.0,18.0,11.0,10.0,2.0,,,,,,BYE,,,,,,,11.4,57.0
258,Jake Browning   CIN,QB,5,,20.7,7.9,5.4,22.1,,,,,BYE,,0.6,,,,,,11.3,56.7
259,Darius Slayton   NYG,WR,13,0.0,6.1,3.0,4.4,1.1,,,2.6,6.2,8.9,,2.3,12.1,BYE,5.3,0.8,3.6,4.3,56.4
260,Andrei Iosivas   CIN,WR,16,0.0,1.2,0.0,2.7,8.2,0.5,4.9,0.0,13.0,BYE,2.0,6.6,8.9,1.7,0.0,2.1,4.1,3.5,55.9
261,Samaje Perine   CIN,RB,14,0.6,0.0,0.1,0.4,2.9,3.2,3.1,16.0,0.5,BYE,,,3.4,3.8,4.3,10.1,7.3,4.0,55.7
262,Kendrick Bourne   SF,WR,15,,3.2,3.8,1.7,14.2,14.2,1.4,4.4,3.4,1.9,0.0,0.0,0.0,BYE,1.7,2.7,2.5,3.7,55.1
263,Marvin Mims Jr.   DEN,WR,15,-0.8,8.4,0.4,14.5,1.9,2.8,9.8,1.8,0.0,,0.2,BYE,1.7,6.7,3.7,2.9,1.0,3.7,55.0
263,Charlie Smyth   NO,K,5,,,,,,,,,,,BYE,,5.0,6.0,10.0,20.0,14.0,11.0,55.0
265,Adonai Mitchell   NYJ,WR,15,2.1,2.0,0.0,7.6,0.0,,0.8,0.0,0.7,,1.0,4.2,16.2,2.4,11.4,4.3,2.2,3.7,54.9
266,Xavier Hutchinson   HOU,WR,16,3.5,2.9,1.6,1.7,13.8,BYE,1.3,12.9,3.0,0.0,4.2,0.9,3.9,0.0,1.6,0.4,2.9,3.4,54.6
267,Dallas Cowboys   DAL,DST,16,1.0,1.0,-1.0,1.0,7.0,2.0,15.0,-2.0,13.0,BYE,9.0,5.0,2.0,-1.0,1.0,-1.0,2.0,3.4,54.0
268,Brian Robinson Jr.   SF,RB,16,3.7,1.9,2.2,2.1,1.2,0.8,3.6,0.0,11.3,10.5,2.4,4.4,2.6,BYE,2.1,2.0,2.8,3.3,53.6
269,David Njoku   CLE,TE,12,3.7,4.0,4.0,1.1,12.7,2.8,,9.7,BYE,8.1,0.7,0.0,0.4,6.1,,,,4.4,53.3
270,Russell Wilson   NYG,QB,6,11.1,31.3,7.1,0.3,,0.0,,,,3.0,,,,BYE,,,,8.8,52.8
271,Ricky Pearsall   SF,WR,10,10.8,5.2,11.7,4.6,,,,,0.0,,0.0,0.8,1.4,BYE,9.6,,8.5,5.3,52.6
272,Xavier Legette   CAR,WR,14,1.0,-0.2,,,9.1,1.1,15.2,1.7,2.2,0.0,14.3,2.2,0.1,BYE,3.9,1.2,0.3,3.7,52.1
272,Tory Horton   SEA,WR,8,0.0,9.2,15.2,1.0,9.9,0.0,0.0,BYE,16.8,,,,,,,,,6.5,52.1
274,Mike Evans   TB,WR,7,5.1,5.6,9.3,,,,0.0,,BYE,,,,,,13.2,9.1,9.1,7.3,51.4
275,Malik Willis   GB,QB,4,,,,,BYE,,,,,,5.8,0.6,,,,13.2,31.5,12.8,51.2
276,New York Jets   NYJ,DST,16,3.0,0.0,9.0,0.0,-3.0,9.0,6.0,-3.0,BYE,19.0,1.0,1.0,4.0,6.0,-2.0,4.0,-3.0,3.2,51.0
277,Isaiah Davis   NYJ,RB,16,1.8,0.6,0.0,2.7,3.3,0.1,3.2,12.9,BYE,1.1,1.1,0.7,0.0,2.2,12.5,6.0,2.0,3.1,50.2
277,Dylan Sampson   CLE,RB,14,9.3,7.9,0.2,-0.2,0.2,2.4,1.7,2.9,BYE,-0.1,1.9,14.2,2.3,4.8,,,2.7,3.6,50.2
279,Chris Godwin Jr.   TB,WR,8,,,,2.6,2.6,,,,BYE,,,0.9,7.8,5.5,10.0,3.0,16.8,6.2,49.2
280,Evan Engram   DEN,TE,15,2.1,1.2,,2.9,9.3,4.9,4.2,3.6,0.0,1.2,3.3,BYE,7.9,0.8,1.2,3.6,2.1,3.2,48.3
280,Darnell Mooney   ATL,WR,14,,2.0,4.4,1.5,BYE,,6.8,1.1,1.5,1.7,3.4,13.4,2.5,0.6,3.5,2.4,3.5,3.4,48.3
282,Parker Romo   ATL,K,7,,18.0,0.0,10.0,BYE,6.0,4.0,5.0,5.0,,,,,,,,,6.9,48.0
283,Cade Otton   TB,TE,15,0.0,2.5,0.0,0.9,8.1,5.1,6.5,4.0,BYE,8.2,2.8,2.1,0.9,1.9,,1.5,3.3,3.2,47.8
284,Gunnar Helm   TEN,TE,16,1.6,0.9,2.7,1.2,3.4,1.5,3.6,8.3,1.5,BYE,2.9,5.1,2.3,0.8,10.9,0.9,0.1,3.0,47.7
285,Jonnu Smith   PIT,TE,16,7.5,2.7,2.3,0.6,BYE,2.8,8.8,1.7,2.5,0.4,0.0,2.8,0.6,0.0,8.6,2.8,2.7,2.9,46.8
286,Jalen Coker   CAR,WR,10,,,,,,,0.0,3.6,0.9,2.1,7.2,3.2,13.4,BYE,10.0,4.7,1.6,4.7,46.7
287,Jeremy McNichols   WAS,RB,16,2.5,0.0,13.8,0.3,1.8,3.5,4.5,6.8,0.0,2.9,2.9,BYE,3.0,0.2,0.2,3.2,1.0,2.9,46.6
288,Keaton Mitchell   BAL,RB,12,,,,,1.3,0.0,BYE,4.3,1.8,3.1,5.4,1.9,9.1,7.6,6.6,1.3,3.8,3.8,46.2
289,Greg Dortch   ARI,WR,12,-0.2,1.1,0.8,3.9,1.2,6.9,0.5,BYE,0.9,6.2,12.6,10.8,1.4,,,,,3.8,46.1
290,Ollie Gordon II   MIA,RB,16,0.3,1.3,9.8,1.0,-0.2,0.2,1.3,12.6,0.9,-0.3,10.5,BYE,1.0,7.7,0.0,-0.1,0.0,2.9,46.0
291,Dontayvion Wicks   GB,WR,14,3.0,4.4,2.1,1.9,BYE,1.5,0.5,,,3.8,0.9,3.2,22.0,0.0,0.6,1.2,0.7,3.3,45.8
291,Olamide Zaccheaus   CHI,WR,15,4.2,2.1,3.6,4.1,BYE,2.8,0.9,3.3,11.8,0.5,0.0,0.6,1.9,6.7,0.0,3.3,,3.1,45.8
293,Cole Kmet   CHI,TE,15,3.1,2.9,7.0,4.6,BYE,0.0,1.6,,1.0,0.5,4.5,0.3,9.6,4.2,2.8,1.4,1.6,3.0,45.1
294,DeAndre Hopkins   BAL,WR,16,9.5,12.4,1.3,0.0,4.6,2.0,BYE,1.4,0.0,1.6,1.1,1.3,2.5,0.0,3.2,4.1,0.0,2.8,45.0
295,Mason Taylor   NYJ,TE,13,2.0,0.5,1.8,6.5,8.7,0.2,3.1,9.4,BYE,0.4,3.0,2.1,2.1,5.1,,,,3.5,44.9
296,Jameis Winston   NYG,QB,3,,,,,,,,,,,12.0,32.2,,BYE,0.0,,,14.8,44.3
297,Justice Hill   BAL,RB,10,-1.1,2.5,4.5,23.7,1.2,4.4,BYE,0.2,1.5,7.3,,0.0,,,,,,4.4,44.2
298,Calvin Austin III   PIT,WR,13,13.0,2.2,9.4,1.3,BYE,,,2.8,5.6,1.4,0.5,3.6,0.0,3.1,0.0,0.8,,3.4,43.7
299,Sterling Shepard   TB,WR,13,3.9,3.4,8.0,2.0,7.9,5.1,0.5,0.8,BYE,3.1,6.1,1.2,0.5,0.5,,,,3.3,43.0
299,Devin Neal   NO,RB,9,0.9,,,,,,0.1,1.1,1.2,3.1,BYE,6.1,6.9,14.4,9.2,,,4.8,43.0
301,Darnell Washington   PIT,TE,16,0.0,2.0,0.0,2.0,BYE,6.2,6.2,0.0,4.3,1.5,6.7,2.2,4.5,1.2,2.5,1.6,1.5,2.7,42.4
302,Noah Fant   CIN,TE,14,8.6,2.8,0.6,,0.0,2.7,10.4,4.1,8.8,BYE,1.6,0.9,0.3,1.5,0.0,,0.0,3.0,42.3
303,Mike Gesicki   CIN,TE,12,1.4,1.8,0.6,0.8,1.5,0.0,,,,BYE,,3.5,1.9,14.6,1.1,9.5,4.7,3.5,41.4
304,Devaughn Vele   NO,WR,13,1.3,6.3,,0.0,1.3,0.0,0.0,1.0,0.0,1.5,BYE,3.7,15.3,4.0,6.9,,,3.2,41.3
305,Jaylen Wright   MIA,RB,10,,,,,,,0.0,2.8,0.0,1.7,0.4,BYE,1.6,16.7,1.1,11.3,5.6,4.1,41.2
306,Jaylin Noel   HOU,WR,16,0.7,0.0,0.4,0.0,7.8,BYE,7.7,6.3,-0.3,3.5,1.2,0.9,0.0,1.3,0.0,0.0,11.6,2.6,41.1
306,Terrance Ferguson   LAR,TE,13,,0.0,,,2.1,0.0,9.1,BYE,5.4,3.2,0.0,0.0,0.0,0.0,0.6,9.3,11.4,3.2,41.1
308,Van Jefferson   TEN,WR,16,0.0,1.0,0.8,0.6,0.0,7.5,4.1,0.6,2.1,BYE,8.2,1.1,2.0,1.7,4.3,2.4,4.6,2.6,41.0
