RK,Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
69,Tyson BagentCHI,QB,3,3,4,75,47,11.8,15.7,22,0,0,0,0,11.4,113.5
70,Clayton TuneGB,QB,2,7,15,46.7,42,2.8,21,8,0,1,5,44,7.8,25.7
71,Gardner Minshew IIKC,QB,4,6,13,46.2,37,2.8,9.3,12,0,1,0,0,12.2,21
72,Gunner OlszewskiNYG,WR,16,1,2,50,33,16.5,2.1,33,1,0,0,0,88.7,135.4
73,Cam AkersSEA/MIN,RB,6,1,1,100,32,32,5.3,32,1,0,0,0,100,158.3
73,Zach WilsonMIA,QB,4,6,11,54.5,32,2.9,8,11,0,0,0,0,9.8,60
75,Matt HaackARI,P,7,1,1,100,28,28,4,28,0,0,0,0,,118.8
76,Nick MullensJAX,QB,5,3,3,100,19,6.3,3.8,8,0,0,0,0,85.8,93.1
77,Rigoberto SanchezIND,P,17,1,1,100,16,16,0.9,16,0,0,0,0,,118.8
78,Drew LockSEA,QB,5,2,3,66.7,15,5,3,11,0,0,0,0,5.6,78.5
79,Anthony Richardson Sr.IND,QB,2,1,2,50,9,4.5,4.5,9,0,0,0,0,20.9,62.5
80,Jaylen WaddleMIA,WR,16,1,1,100,8,8,0.5,8,0,0,0,0,0.1,100
81,Breece HallNYJ,RB,16,1,1,100,4,4,0.3,4,1,0,0,0,100,122.9
82,David MontgomeryDET,RB,17,1,2,50,3,1.5,0.2,3,1,0,1,5,35,95.8
82,Austin McNamaraNYJ,P,17,1,1,100,3,3,0.2,3,0,0,0,0,,79.2
84,DJ MooreCHI,WR,17,1,1,100,2,2,0.1,2,1,0,0,0,100,118.8
85,Cooper KuppSEA,WR,16,0,1,0,0,0,0,0,0,1,0,0,0,0
85,Derrick HenryBAL,RB,17,0,1,0,0,0,0,0,0,0,0,0,7.9,39.6
85,Kyle AllenDET,QB,3,0,2,0,0,0,0,0,0,0,0,0,4.8,39.6
