Season,Rank,Player,TACKLE,ASSIST,SACK,TFL,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
2006,46,Paul Spicer (JAC),41,6,3,0,4,0,0,0,0,14,84.3,6,0.00%
2006,47,Kabeer Gbaja-Biamila (GB),28,12,6,0,0,0,2,0,0,16,83.3,5.2,0.00%
2006,48,Ryan Pickett (GB),31,33,0,0,5,0,0,1,0,16,83.2,5.2,0.00%
2006,49,Bryce Fisher (SEA),37,9,4,0,0,0,0,1,0,15,82.5,5.5,0.00%
2006,49,Darrion Scott (MIN),25,21,5.5,0,2,0,1,0,0,14,82.5,5.9,0.00%
2006,51,Darren Howard (PHI),23,12,5,0,4,0,2,1,0,14,81.9,5.8,0.00%
2005,1,Osi Umenyiora (NYG),49,22,14.5,2,3,0,4,2,0,16,181.9,11.4,0.00%
2005,2,Michael Strahan (NYG),61,21,11.5,3,2,0,1,1,0,16,172.1,10.8,0.00%
2005,3,Aaron Schobel (BUF),54,17,12,0,5,1,2,1,0,16,166.6,10.4,0.00%
2005,4,Kyle Vanden Bosch (TEN),41,25,12.5,0,1,0,4,1,0,16,152.3,9.5,0.00%
2005,5,Simeon Rice (TB),33,7,14,2,4,1,6,0,0,14,151,10.8,0.00%
2005,6,Orpheus Roye (CLE),65,23,3,0,4,0,0,1,0,15,137.1,9.1,0.00%
2005,7,Will Smith (NO),48,12,8.5,0,6,0,2,1,0,16,136.2,8.5,0.00%
2005,8,Julius Peppers (CAR),38,12,10.5,0,7,0,2,1,0,16,130.7,8.2,0.10%
2005,9,James Hall (DET),52,8,5,5,1,0,3,0,0,13,130.1,10,0.00%
2005,10,Roderick Coleman (ATL),35,5,10.5,2,6,0,4,0,0,15,128.4,8.6,0.00%
2005,11,Patrick Kerney (ATL),39,15,6.5,1,2,0,3,3,0,16,125.6,7.8,0.00%
2005,12,Phillip Daniels (WAS),37,11,8,1,9,0,1,2,0,16,124.1,7.8,0.00%
2005,13,Rocky Bernard (SEA),43,9,8.5,2,3,0,0,2,0,16,123.1,7.7,0.00%
2005,14,Adewale Ogunleye (CHI),36,4,10,3,5,0,1,1,0,14,120.1,8.6,0.00%
2005,15,Kabeer Gbaja-Biamila (GB),37,16,8,0,0,0,2,3,0,16,119.9,7.5,0.00%
2005,16,John Henderson (JAC),53,17,3,0,7,0,1,0,0,15,119.2,7.9,0.00%
2005,17,Justin Smith (CIN),45,21,6,0,2,0,1,1,0,16,118.6,7.4,0.00%
2005,18,Mike Rucker (CAR),35,9,7.5,0,3,0,4,2,0,15,118,7.9,0.00%
2005,18,Bryce Fisher (SEA),34,13,9,2,8,0,1,0,0,16,118,7.4,0.00%
2005,20,Jevon Kearse (PHI),36,3,7.5,0,8,0,3,0,0,15,110.4,7.4,0.00%
2005,21,Raheem Brock (IND),36,9,6.5,0,2,0,4,1,0,14,110.1,7.9,0.00%
2005,22,Alvin McKinley (CLE),45,23,5,0,0,0,1,0,0,16,109.1,6.8,0.00%
2005,23,James Reed (NYJ),44,21,2,1,0,0,0,2,1,16,106.5,6.7,0.00%
2005,24,Bobby Hamilton (OAK),50,6,2,0,4,0,1,2,0,13,105.6,8.1,0.00%
2005,25,Reggie Hayward (JAC),27,6,8.5,2,6,0,2,1,0,15,105.2,7,0.00%
2005,26,Paul Spicer (JAC),30,7,7.5,5,2,0,1,1,0,14,103.9,7.4,0.00%
2005,27,Anthony Hargrove (LAR),41,6,6.5,0,2,0,0,2,0,16,103.3,6.5,0.00%
2005,28,Seth Payne (HOU),45,14,4,0,3,0,1,0,0,15,102.8,6.9,0.00%
2005,29,Robaire Smith (HOU),43,25,1.5,1,4,0,0,1,0,16,102.1,6.4,0.00%
2005,30,Vonnie Holliday (MIA),36,16,5,0,5,0,0,2,0,16,102,6.4,0.00%
2005,31,Kevin Carter (MIA),34,19,6,0,3,0,1,1,0,16,101.9,6.4,0.00%
2005,32,Ryan Pickett (LAR),47,18,2,2,3,0,0,0,0,16,101.8,6.4,0.00%
2005,33,Charles Grant (NO),44,18,2.5,0,2,0,1,1,0,16,100.9,6.3,0.00%
2005,34,Shaun Rogers (DET),30,11,5.5,1,2,0,2,1,1,14,99,7.1,0.00%
2005,35,Darrion Scott (MIN),39,19,4,0,3,0,0,1,0,16,97.8,6.1,0.00%
2005,36,Marques Douglas (SF),44,14,1,0,2,0,1,2,0,16,95.7,6,0.00%
2005,37,Grant Wistrom (SEA),41,11,4,0,6,0,0,0,0,16,95,5.9,0.00%
2005,38,Tommy Kelly (OAK),37,10,4.5,0,1,0,3,0,0,16,94.8,5.9,0.00%
2005,39,Bryant Young (SF),32,4,8,0,2,0,2,0,0,12,94.2,7.9,0.00%
2005,40,Kalimba Edwards (DET),25,7,7,0,2,0,2,3,0,16,94,5.9,0.00%
2005,41,Pat Williams (MIN),42,25,1.5,0,1,0,1,0,0,16,93.7,5.9,0.00%
2005,42,Ty Warren (NE),40,28,1.5,0,1,0,0,1,0,15,92.9,6.2,0.00%
2005,43,Richard Seymour (NE),36,11,4,0,4,0,1,1,0,12,92.5,7.7,0.00%
2005,44,Montae Reagor (IND),27,9,5.5,0,0,0,0,4,1,13,91.5,7,0.00%
2005,45,Luis Castillo (LAC),37,12,3.5,1,3,0,1,0,0,16,89.6,5.6,0.00%
2005,46,Aaron Smith (PIT),30,10,2,4,3,1,1,1,0,14,88.2,6.3,0.00%
2005,47,Marcus Tubbs (SEA),27,13,5.5,0,2,0,2,1,0,12,87.6,7.3,0.00%
2005,48,Grady Jackson (GB),39,16,1,1,4,0,1,0,0,16,87.4,5.5,0.00%
2005,49,Eric Hicks (KC),36,8,4,0,2,0,2,0,0,13,87.3,6.7,0.00%
2005,50,Dewayne White (TB),28,5,3,0,2,0,2,3,1,14,86.9,6.2,0.00%
2004,1,Charles Grant (NO),66,14,10.5,19,7,1,3,1,0,16,230.8,14.4,0.00%
2004,2,Patrick Kerney (ATL),55,11,13,17,9,1,2,1,0,16,216.1,13.5,0.00%
2004,3,Kevin Williams (MIN),52,18,11.5,13,8,1,2,3,1,16,213.4,13.3,0.10%
2004,4,Julius Peppers (CAR),53,12,11,10,9,2,4,1,2,16,213.3,13.3,0.10%
2004,5,Bertrand Berry (ARI),40,8,14.5,14,4,0,4,2,0,14,189.3,13.5,0.00%
2004,6,Aaron Schobel (BUF),46,27,8,11,4,0,5,3,0,16,187.2,11.7,0.00%
2004,7,Cornelius Griffin (WAS),56,14,6,21,6,0,0,1,0,15,184.4,12.3,0.00%
2004,8,Osi Umenyiora (NYG),42,16,7,13,3,0,3,4,1,16,174.2,10.9,0.00%
2004,9,Roderick Coleman (ATL),32,9,11.5,14,6,1,3,1,1,13,172,13.2,0.00%
2004,10,James Hall (DET),38,10,11.5,10,5,1,4,1,0,16,168.3,10.5,0.00%
2004,11,Shaun Ellis (NYJ),39,18,11,12,4,0,2,1,0,15,164.4,11,0.00%
2004,12,Kabeer Gbaja-Biamila (GB),33,14,13.5,14,2,0,2,0,0,15,160.4,10.7,0.00%
2004,12,Greg Spires (TB),47,14,8,9,3,0,3,2,0,16,160.4,10,0.00%
2004,14,Darren Howard (NO),36,10,11,10,1,0,4,3,0,13,160.2,12.3,0.00%
2004,15,Justin Smith (CIN),42,29,8,9,2,0,2,2,0,16,158.7,9.9,0.00%
2004,16,John Henderson (JAC),62,13,5.5,9,4,0,0,1,0,16,157.5,9.8,0.00%
2004,17,Reggie Hayward (DEN),31,12,10.5,14,3,1,1,1,0,16,150.5,9.4,0.00%
2004,18,Marques Douglas (BAL),49,23,5.5,11,2,0,1,0,0,16,147.7,9.2,0.00%
2004,19,Simeon Rice (TB),34,6,12,13,5,0,1,0,0,14,147.6,10.5,0.00%
2004,20,Shaun Rogers (DET),48,20,4,12,5,0,0,1,0,16,144.8,9,0.00%
2004,21,Raheem Brock (IND),36,11,6.5,14,4,0,1,2,0,15,141.6,9.4,0.00%
2004,22,Aaron Smith (PIT),31,13,8,10,1,0,3,2,0,15,135.1,9,0.00%
2004,23,Will Smith (NO),32,10,7.5,5,2,0,6,1,0,15,129.2,8.6,0.00%
2004,24,Lance Johnstone (MIN),25,6,11,8,1,0,5,0,0,12,127.7,10.6,0.00%
2004,24,Bryce Fisher (LAR),36,10,8.5,9,1,0,2,0,0,15,127.7,8.5,0.00%
2004,26,Duane Clemons (CIN),32,18,6.5,10,1,0,2,0,0,13,122.2,9.4,0.00%
2004,27,Ebenezer Ekuban (CLE),29,10,8,9,2,0,1,2,0,16,120.9,7.6,0.00%
2004,28,Pat Williams (BUF),37,16,2.5,10,1,1,0,1,1,15,119.3,8,0.00%
2004,28,John Engelberger (SF),25,20,6,6,5,0,4,1,0,16,119.3,7.5,0.00%
2004,30,Marcus Stroud (JAC),38,16,4.5,6,3,0,2,1,0,16,119,7.4,0.00%
2004,31,Jeff Zgonina (MIA),32,31,5,9,3,0,0,0,0,16,118.6,7.4,0.00%
2004,32,Brady Smith (ATL),25,5,6,7,3,1,3,2,1,15,118.4,7.9,0.00%
2004,33,Montae Reagor (IND),35,8,5,10,2,0,1,1,0,16,114.7,7.2,0.00%
2004,34,Fred Robbins (NYG),31,9,5,10,2,1,2,0,0,14,114.4,8.2,0.00%
2004,35,Antonio Cochran (SEA),27,9,6.5,6,3,1,3,1,0,13,114,8.8,0.00%
2004,36,Bryant Young (SF),37,11,3,11,1,0,1,1,0,15,113.1,7.5,0.00%
2004,37,La'Roi Glover (DAL),31,10,7,10,1,0,1,0,0,16,112.7,7,0.00%
2004,38,Sam Adams (BUF),27,14,5,11,3,1,1,0,0,14,112.5,8,0.00%
2004,39,Darnell Dockett (ARI),34,6,3.5,10,3,1,1,1,0,14,112.1,8,0.00%
2004,40,John Thornton (CIN),37,20,3,9,4,0,0,0,0,16,111.3,7,0.00%
2004,41,Jevon Kearse (PHI),27,4,7.5,6,6,0,2,1,0,13,109.7,8.4,0.00%
2004,42,Kevin Carter (TEN),26,23,6,7,1,0,1,1,0,14,107.6,7.7,0.00%
2004,43,Ty Warren (NE),39,10,3.5,7,1,0,2,0,0,14,107.3,7.7,0.00%
2004,44,Adewale Ogunleye (CHI),29,9,5,7,2,0,3,1,0,11,107,9.7,0.00%
2004,45,Brian Young (NO),40,19,2.5,7,0,0,0,1,0,15,106.2,7.1,0.00%
2004,46,Kelly Gregg (BAL),44,17,1.5,4,1,0,1,1,0,14,104.4,7.5,0.00%
2004,46,Jason Ferguson (NYJ),37,22,3.5,4,0,0,2,0,0,16,104.4,6.5,0.00%
2004,48,Anthony Weaver (BAL),35,4,4,7,4,1,0,1,0,16,104.2,6.5,0.00%
2004,49,Dewayne Robertson (NYJ),39,14,3,7,0,0,1,0,0,16,102.7,6.4,0.00%
2004,50,Mike Rucker (CAR),35,3,3.5,7,5,0,1,1,0,15,101.9,6.8,0.00%
2003,1,Michael Strahan (NYG),60,15,18.5,24,5,0,3,1,0,16,259.1,16.2,0.00%
2003,2,Simeon Rice (TB),45,5,15,11,8,2,6,1,0,16,208.9,13.1,0.00%
2003,3,Adewale Ogunleye (MIA),43,21,15,19,5,0,2,1,0,16,207.6,13,0.00%
2003,4,Mike Rucker (CAR),48,11,12,16,6,1,1,0,0,13,186.5,14.3,0.00%
2003,5,Aaron Schobel (BUF),37,23,11.5,16,3,1,1,1,0,16,176.6,11,0.00%
2003,6,Charles Grant (NO),48,13,10,11,7,0,4,0,0,16,176,11,0.00%
2003,7,Shaun Ellis (NYJ),48,21,12.5,11,0,0,1,0,0,16,169.7,10.6,0.00%
2003,8,Kevin Williams (MIN),36,15,10.5,15,4,1,0,1,0,16,160.1,10,0.10%
2003,9,Kabeer Gbaja-Biamila (GB),36,11,10,11,0,0,3,2,0,15,150.2,10,0.00%
2003,10,Pat Williams (BUF),54,28,0,13,3,0,0,1,1,16,149.5,9.3,0.00%
2003,11,Marques Douglas (BAL),52,11,4.5,13,2,0,2,0,0,16,148,9.3,0.00%
2003,12,Kelly Gregg (BAL),63,17,3,9,0,0,0,1,0,16,146.2,9.1,0.00%
2003,13,Grant Wistrom (LAR),50,11,7.5,9,1,0,1,1,0,15,145.5,9.7,0.00%
2003,14,John Henderson (JAC),47,11,3.5,10,7,0,3,1,0,15,144.3,9.6,0.00%
2003,15,Richard Seymour (NE),34,22,8,9,10,0,1,0,0,15,141.4,9.4,0.00%
2003,16,Marcus Stroud (JAC),48,18,4.5,13,3,0,0,0,0,15,140.7,9.4,0.00%
2003,17,Jason Ferguson (NYJ),52,23,4.5,5,4,0,1,1,0,15,140.1,9.3,0.00%
2003,18,Bertrand Berry (DEN),25,12,11.5,10,4,0,3,1,0,14,139.8,10,0.00%
2003,19,Roderick Coleman (OAK),44,8,5.5,9,6,0,2,1,0,16,137.8,8.6,0.00%
2003,20,Shaun Rogers (DET),42,16,4,13,5,0,1,0,0,16,135.2,8.5,0.00%
2003,21,Kenny Mixon (MIN),44,9,5,8,4,0,4,0,0,16,135.1,8.4,0.00%
2003,22,Jevon Kearse (TEN),29,13,9.5,8,1,1,4,0,0,14,134.1,9.6,0.00%
2003,23,Julius Peppers (CAR),39,7,7,10,3,0,3,0,0,16,133.5,8.3,0.10%
2003,24,James Hall (DET),48,14,4.5,8,0,0,2,1,0,16,132.7,8.3,0.00%
2003,25,Ndukwe Kalu (PHI),38,9,5.5,8,2,1,0,3,1,16,132.1,8.3,0.00%
2003,26,Kris Jenkins (CAR),39,7,5,13,4,0,1,1,0,16,130.4,8.1,0.00%
2003,27,Tony Brackens (JAC),33,6,6,14,2,1,2,0,0,14,129.2,9.2,0.00%
2003,28,Darwin Walker (PHI),36,6,6,11,5,0,0,2,0,15,125.8,8.4,0.00%
2003,29,Lance Johnstone (MIN),21,8,10,6,6,1,3,0,1,15,124.8,8.3,0.00%
2003,30,Justin Smith (CIN),41,19,5,8,3,0,1,0,0,15,124.7,8.3,0.00%
2003,31,Orpheus Roye (CLE),42,15,1.5,11,8,0,0,1,0,16,124,7.7,0.00%
2003,32,Ellis Johnson (ATL),34,8,8,10,1,0,1,1,0,16,123.7,7.7,0.00%
2003,33,Patrick Kerney (ATL),34,12,6.5,6,1,0,2,3,0,15,123,8.2,0.00%
2003,34,Duane Clemons (CIN),36,7,6,9,4,0,1,1,0,16,120,7.5,0.00%
2003,35,Adrian Dingle (LAC),31,6,6,12,1,0,2,1,0,14,118.7,8.5,0.00%
2003,36,Chris Cooper (OAK),40,9,2.5,9,2,0,1,3,0,14,118.5,8.5,0.00%
2003,37,La'Roi Glover (DAL),33,16,5,9,1,0,1,2,0,15,117.9,7.9,0.00%
2003,38,Grady Jackson (GB),36,12,6,9,2,0,1,0,0,14,116.7,8.3,0.00%
2003,38,Reggie Hayward (DEN),24,4,8.5,8,5,0,2,2,0,15,116.7,7.8,0.00%
2003,40,Warren Sapp (TB),37,7,5,9,3,0,2,0,0,15,115.8,7.7,0.00%
2003,41,Courtney Brown (CLE),29,9,6,6,4,0,4,1,0,13,115.5,8.9,0.00%
2003,42,Anthony McFarland (TB),38,12,2.5,7,2,1,2,1,0,14,113.8,8.1,0.00%
2003,43,Trevor Pryce (DEN),27,9,8.5,7,1,0,2,1,0,12,112.4,9.4,0.00%
2003,44,Kevin Carter (TEN),29,19,5.5,10,2,0,1,0,0,15,112,7.5,0.00%
2003,45,Corey Simon (PHI),32,8,7.5,5,2,0,2,1,0,16,111.7,7,0.00%
2003,46,Anthony Weaver (BAL),27,9,5,7,6,0,2,2,0,13,110,8.5,0.00%
2003,47,Al Wallace (CAR),28,8,5,8,5,2,0,1,0,14,109.8,7.8,0.00%
2003,48,Marcellus Wiley (LAC),38,13,3,5,4,0,2,1,0,16,109.4,6.8,0.00%
2003,49,Kimo Von Oelhoffen (PIT),27,8,8,8,0,0,1,1,0,15,106.7,7.1,0.00%
2003,50,Aaron Smith (PIT),36,9,2,8,7,0,1,0,0,16,103.5,6.5,0.00%
2002,1,Simeon Rice (TB),41,9,15.5,12,11,1,6,0,0,16,206.1,12.9,0.00%
2002,2,Mike Rucker (CAR),58,9,10,15,7,0,4,1,0,16,202,12.6,0.00%
2002,3,Michael Strahan (NYG),57,14,11,13,2,0,2,1,0,16,187.8,11.7,0.00%
2002,4,Andre Carter (SF),45,9,12.5,14,4,0,3,1,0,15,181.6,12.1,0.00%
2002,4,Kabeer Gbaja-Biamila (GB),35,11,12,13,6,1,4,1,1,15,181.6,12.1,0.00%
2002,6,Patrick Kerney (ATL),45,13,10.5,13,1,0,0,2,1,14,167.6,12,0.00%
2002,7,Aaron Smith (PIT),53,17,5.5,14,2,0,0,3,0,16,164.5,10.3,0.00%
2002,8,Julius Peppers (CAR),29,7,12,11,6,1,5,0,0,12,158.4,13.2,0.10%
2002,9,Eric Hicks (KC),41,14,9,10,3,0,2,1,0,15,149.9,10,0.00%
2002,10,Warren Sapp (TB),40,7,7.5,12,4,2,1,1,0,15,149.6,10,0.00%
2002,11,Marcus Stroud (JAC),41,7,6.5,12,6,0,3,1,0,16,147.9,9.2,0.00%
2002,12,John Henderson (JAC),45,9,6.5,10,6,0,1,2,0,15,146.5,9.8,0.00%
2002,13,Adewale Ogunleye (MIA),33,12,9.5,10,3,0,3,2,0,15,146.4,9.8,0.00%
2002,14,Kenny Holmes (NYG),32,15,8,14,1,0,1,2,1,14,146,10.4,0.00%
2002,15,Justin Smith (CIN),48,13,6.5,9,3,0,2,0,0,16,143.1,8.9,0.00%
2002,16,Kenny Mixon (MIN),45,26,4.5,9,6,1,0,0,0,16,141.9,8.9,0.00%
2002,17,Bruce Smith (WAS),37,12,9,11,1,0,3,0,0,16,141.8,8.9,0.00%
2002,18,Trevor Pryce (DEN),40,6,9,12,1,0,1,1,0,16,140.3,8.8,0.00%
2002,19,Aaron Schobel (BUF),34,18,8.5,12,4,0,1,0,0,16,138.9,8.7,0.00%
2002,20,Charles Grant (NO),30,7,7,10,4,0,4,1,1,16,135.5,8.5,0.00%
2002,21,Gary Walker (HOU),37,15,6.5,11,4,0,1,1,0,16,134.6,8.4,0.00%
2002,22,Roderick Coleman (OAK),32,6,11,13,3,0,0,0,0,13,133.8,10.3,0.00%
2002,23,Pat Williams (BUF),53,31,0.5,6,1,0,2,1,0,16,133.7,8.4,0.00%
2002,24,Darren Howard (NO),35,13,8,9,3,0,3,0,0,15,133.6,8.9,0.00%
2002,25,Richard Seymour (NE),33,23,5.5,12,3,1,0,1,0,15,132.7,8.8,0.00%
2002,26,La'Roi Glover (DAL),39,11,6.5,10,1,1,2,0,0,16,132.6,8.3,0.00%
2002,27,Chris Hovan (MIN),38,14,5.5,11,4,0,0,2,0,16,131.4,8.2,0.00%
2002,28,Kris Jenkins (CAR),36,8,7,15,3,0,0,0,0,16,130.3,8.1,0.00%
2002,29,Grant Wistrom (LAR),45,2,4.5,8,4,1,1,2,0,15,130.1,8.7,0.00%
2002,30,Chad Bratzke (IND),34,11,6,6,5,0,5,1,0,16,130,8.1,0.00%
2002,31,Robert Porcher (DET),30,15,5.5,5,8,0,2,3,1,15,129,8.6,0.00%
2002,31,Brad Scioli (IND),39,11,7,8,4,0,2,0,0,13,129,9.9,0.00%
2002,33,Daryl Gardener (WAS),45,7,4,11,3,0,0,2,0,15,128.9,8.6,0.00%
2002,34,Chad Eaton (SEA),48,25,1,7,3,0,0,1,1,16,127.2,7.9,0.00%
2002,35,Lance Johnstone (MIN),41,10,7,9,1,0,0,1,0,15,125.3,8.4,0.00%
2002,36,Kevin Carter (TEN),27,15,10,9,3,0,0,1,0,16,123.2,7.7,0.00%
2002,37,Josh Evans (NYJ),40,7,6,10,0,0,0,2,0,16,122.6,7.7,0.00%
2002,38,Grady Jackson (NO),31,12,5.5,9,4,0,1,3,0,15,122.3,8.2,0.00%
2002,39,Darwin Walker (PHI),29,6,7.5,11,2,0,2,1,0,15,120.8,8.1,0.00%
2002,40,Cletidus Hunt (GB),31,5,5.5,11,4,0,1,2,0,12,117.9,9.8,0.00%
2002,41,Carlos Hall (TEN),27,15,8,8,6,0,1,0,0,15,117.1,7.8,0.00%
2002,42,Raylee Johnson (LAC),32,8,6.5,10,1,0,0,1,1,16,116.7,7.3,0.00%
2002,43,Antonio Cochran (SEA),37,15,3,8,3,1,1,0,0,16,112.5,7,0.00%
2002,44,Ryan Pickett (LAR),45,22,0.5,8,4,0,0,0,0,16,112.4,7,0.00%
2002,45,Brandon Whiting (PHI),23,16,6,9,2,0,1,3,0,16,112.3,7,0.00%
2002,46,Kyle Vanden Bosch (ARI),37,13,3.5,11,0,0,0,1,0,15,111.2,7.4,0.00%
2002,47,John Browning (KC),33,6,7,9,1,0,0,1,0,13,110.2,8.5,0.00%
2002,48,Seth Payne (HOU),54,11,1,6,1,0,0,0,0,16,110.1,6.9,0.00%
2002,49,Cornelius Griffin (NYG),32,17,4,8,3,0,1,1,0,14,109.5,7.8,0.00%
2002,50,James Hall (DET),34,15,2,8,3,0,0,2,1,16,109,6.8,0.00%
