Season,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,TGT,REC,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
2013,3,Matt Forte (CHI),289,"1,339",4.6,55,9,9,94,74,594,8,3,2,16,263.3,16.5,19.10%
2013,4,Marshawn Lynch (SEA),301,"1,257",4.2,43,6,12,44,36,316,8.8,2,1,16,239.3,15,0.70%
2013,5,Knowshon Moreno (DEN),241,"1,038",4.3,31,5,10,74,60,548,9.1,3,0,16,236.6,14.8,0.00%
2013,6,Eddie Lacy (GB),284,"1,178",4.1,60,3,11,44,35,257,7.3,0,1,15,207.5,13.8,0.30%
2013,7,DeMarco Murray (DAL),217,"1,121",5.2,43,8,9,66,53,350,6.6,1,1,14,205.1,14.7,0.10%
2013,8,Adrian Peterson (MIN),279,"1,266",4.5,78,8,10,40,29,171,5.9,1,3,14,203.7,14.5,1.90%
2013,9,Chris Johnson (TEN),279,"1,077",3.9,30,5,6,52,42,345,8.2,4,2,16,198.2,12.4,0.60%
2013,10,Fred Jackson (BUF),206,890,4.3,59,1,9,66,47,387,8.2,1,0,16,187.7,11.7,0.00%
2013,11,Reggie Bush (DET),223,"1,006",4.5,39,6,4,80,54,506,9.4,3,4,14,185.2,13.2,0.00%
2013,12,Ryan Mathews (LAC),285,"1,255",4.4,51,7,6,33,26,189,7.3,1,1,16,184.4,11.5,0.00%
2013,13,Frank Gore (SF),276,"1,128",4.1,51,9,9,26,16,141,8.8,0,3,16,174.9,10.9,8.40%
2013,14,Le'Veon Bell (PIT),244,860,3.5,43,4,8,66,45,399,8.9,0,1,13,171.9,13.2,0.20%
2013,15,Alfred Morris (WAS),276,"1,275",4.6,45,10,7,12,9,78,8.7,0,4,16,169.3,10.6,0.00%
2013,16,Giovani Bernard (CIN),170,695,4.1,35,3,5,70,56,514,9.2,3,1,16,166.9,10.4,0.00%
2013,17,Joique Bell (DET),166,650,3.9,20,1,8,69,53,547,10.3,0,3,16,163.7,10.2,0.20%
2013,18,Zac Stacy (LAR),250,973,3.9,40,5,7,35,26,141,5.4,1,1,14,157.4,11.2,0.00%
2013,19,Danny Woodhead (LAC),106,429,4,14,0,2,87,76,605,8,6,2,16,147.4,9.2,20.60%
2013,20,Maurice Jones-Drew (JAC),234,803,3.4,48,5,5,60,43,314,7.3,0,1,15,144,9.6,0.00%
2013,21,Rashad Jennings (OAK),163,733,4.5,80,4,6,47,36,292,8.1,0,0,15,138.5,9.2,0.00%
2013,22,DeAngelo Williams (CAR),201,843,4.2,43,6,3,36,26,333,12.8,1,2,15,137.6,9.2,0.10%
2013,23,Pierre Thomas (NO),147,549,3.7,18,0,2,84,77,513,6.7,3,1,16,134.2,8.4,0.00%
2013,24,Andre Ellington (ARI),118,652,5.5,80,8,3,57,39,371,9.5,1,0,15,126.3,8.4,0.10%
2013,25,Rashard Mendenhall (ARI),217,687,3.2,28,1,8,21,18,134,7.4,0,3,15,126.1,8.4,0.00%
2013,26,Donald Brown (IND),102,537,5.3,51,4,6,35,27,214,7.9,2,0,16,123.1,7.7,0.00%
2013,27,C.J. Spiller (BUF),202,933,4.6,77,9,2,40,33,185,5.6,0,1,15,121.8,8.1,0.10%
2013,28,Ray Rice (BAL),214,660,3.1,47,1,4,73,58,321,5.5,0,2,15,120.1,8,0.00%
2013,29,LeGarrette Blount (NE),153,772,5,47,5,7,5,2,38,19,0,2,16,119,7.4,0.10%
2013,30,Stevan Ridley (NE),178,773,4.3,29,3,7,12,10,62,6.2,0,4,14,117.5,8.4,0.00%
2013,31,BenJarvus Green-Ellis (CIN),220,756,3.4,25,1,7,8,4,22,5.5,0,2,16,115.8,7.2,0.00%
2013,32,Steven Jackson (ATL),157,543,3.5,50,3,6,49,33,191,5.8,1,0,12,115.4,9.6,0.00%
2013,33,Ben Tate (HOU),181,771,4.3,60,3,4,49,34,140,4.1,0,2,14,111.1,7.9,0.00%
2013,34,Trenton Richardson (IND),188,563,3,22,1,3,52,35,316,9,1,1,16,109.9,6.9,0.00%
2013,35,Cordarrelle Patterson (MIN),12,158,13.2,50,3,3,77,45,469,10.4,4,0,16,104.7,6.5,1.00%
2013,36,Bilal Powell (NYJ),176,697,4,39,3,1,57,36,272,7.6,0,0,16,104.1,6.5,1.00%
2013,37,Darren Sproles (NO),53,220,4.2,38,1,2,89,71,604,8.5,2,2,15,102.4,6.8,0.10%
2013,38,Chris Ivory (NYJ),182,833,4.6,69,8,3,7,2,10,5,0,0,15,102.3,6.8,0.00%
2013,39,Lamar Miller (MIA),177,709,4,49,4,2,35,26,170,6.5,0,1,16,97.9,6.1,0.00%
2013,40,Mike Tolbert (CAR),101,361,3.6,22,2,5,32,27,184,6.8,2,0,16,96.5,6,0.00%
2013,41,Bobby Rainey (TB),150,566,3.8,80,3,5,19,15,46,3.1,1,1,15,95.2,6.3,0.00%
2013,42,Jacquizz Rodgers (ATL),96,332,3.5,19,0,2,62,52,341,6.6,2,1,15,89.3,6,0.00%
2013,43,Montee Ball (DEN),120,559,4.7,45,3,4,27,20,145,7.3,0,3,16,88.4,5.5,0.00%
2013,44,Shane Vereen (NE),44,208,4.7,21,2,1,69,47,427,9.1,3,0,8,87.5,10.9,0.00%
2013,45,Arian Foster (HOU),121,542,4.5,23,2,1,35,22,183,8.3,1,0,8,86.5,10.8,0.00%
2013,46,Daniel Thomas (MIA),109,406,3.7,55,1,4,17,15,63,4.2,2,0,15,82.9,5.5,0.00%
2013,47,James Starks (GB),89,493,5.5,41,6,3,13,10,89,8.9,1,0,13,82.2,6.3,0.00%
2013,48,Darren McFadden (OAK),114,379,3.3,30,4,5,25,17,108,6.4,0,1,10,81.3,8.1,7.00%
2013,49,Marcel Reece (OAK),46,218,4.7,63,1,2,54,32,331,10.3,2,0,16,79.8,5,0.00%
2013,50,Roy Helu (WAS),62,274,4.4,24,2,4,42,31,251,8.1,0,0,16,76.5,4.8,0.00%
2012,1,Adrian Peterson (MIN),348,"2,097",6,82,27,12,51,40,217,5.4,1,2,16,307.4,19.2,1.90%
2012,2,Doug Martin (TB),319,"1,454",4.6,70,11,11,70,49,472,9.6,1,1,16,262.6,16.4,0.00%
2012,3,Arian Foster (HOU),351,"1,424",4.1,46,9,15,58,40,217,5.4,2,2,16,262.1,16.4,0.00%
2012,4,Marshawn Lynch (SEA),315,"1,590",5,77,9,11,30,23,196,8.5,1,2,16,246.6,15.4,0.70%
2012,5,Alfred Morris (WAS),335,"1,613",4.8,39,9,13,16,11,77,7,0,3,16,241,15.1,0.00%
2012,6,Ray Rice (BAL),257,"1,143",4.4,46,5,9,83,61,478,7.8,1,0,16,222.1,13.9,0.00%
2012,7,C.J. Spiller (BUF),207,"1,244",6,62,12,6,57,43,459,10.7,2,3,16,212.3,13.3,0.10%
2012,8,Jamaal Charles (KC),285,"1,509",5.3,91,11,5,48,35,236,6.7,1,3,16,204.5,12.8,0.10%
2012,9,Trenton Richardson (CLE),267,950,3.6,32,2,11,70,51,367,7.2,1,0,15,203.7,13.6,0.00%
2012,10,Frank Gore (SF),258,"1,214",4.7,37,7,8,36,28,234,8.4,1,1,16,202.8,12.7,8.40%
2012,11,Stevan Ridley (NE),290,"1,263",4.4,41,6,12,14,6,51,8.5,0,2,16,199.4,12.5,0.00%
2012,12,Matt Forte (CHI),248,"1,094",4.4,46,6,5,60,44,340,7.7,1,1,15,177.4,11.8,19.10%
2012,13,Chris Johnson (TEN),276,"1,243",4.5,94,8,6,49,36,232,6.4,0,4,16,175.5,11,0.60%
2012,14,Reggie Bush (MIA),227,986,4.3,65,6,6,51,35,292,8.3,2,2,16,171.8,10.7,0.00%
2012,15,Shonn Greene (NYJ),276,"1,063",3.9,36,2,8,31,19,151,7.9,0,1,16,167.4,10.5,0.00%
2012,16,Steven Jackson (LAR),258,"1,045",4.1,46,5,4,53,38,321,8.4,0,0,16,162.6,10.2,0.00%
2012,17,Michael Turner (ATL),222,800,3.6,43,5,10,30,19,128,6.7,1,1,16,156.8,9.8,0.00%
2012,18,Ahmad Bradshaw (NYG),221,"1,015",4.6,37,4,6,31,23,245,10.7,0,3,14,156,11.1,0.00%
2012,19,BenJarvus Green-Ellis (CIN),278,"1,094",3.9,48,7,6,29,22,104,4.7,0,2,15,151.8,10.1,0.00%
2012,20,Mikel Leshoure (DET),215,798,3.7,16,0,9,48,34,214,6.3,0,3,14,149.2,10.7,0.00%
2012,21,LeSean McCoy (PHI),200,840,4.2,34,7,2,67,54,373,6.9,3,3,12,145.3,12.1,2.00%
2012,22,Darren Sproles (NO),48,244,5.1,47,2,1,104,75,667,8.9,7,0,13,141.1,10.9,0.10%
2012,23,DeAngelo Williams (CAR),173,737,4.3,65,5,5,20,13,187,14.4,2,2,16,130.4,8.1,0.10%
2012,24,Danny Woodhead (NE),76,301,4,19,0,4,55,40,446,11.2,3,0,16,116.7,7.3,20.60%
2012,25,Vick Ballard (IND),211,814,3.9,26,4,2,27,17,152,8.9,1,0,16,114.6,7.2,0.00%
2012,26,Willis McGahee (DEN),167,731,4.4,31,2,4,33,26,221,8.5,0,4,10,113.2,11.3,0.00%
2012,27,DeMarco Murray (DAL),161,663,4.1,48,5,4,42,35,251,7.2,0,2,10,111.4,11.1,0.10%
2012,28,Darren McFadden (OAK),216,707,3.3,64,4,2,62,42,258,6.1,1,2,12,110.5,9.2,7.00%
2012,29,Joique Bell (DET),82,414,5,67,3,3,69,52,485,9.3,0,2,16,103.9,6.5,0.20%
2012,30,Ryan Mathews (LAC),184,707,3.8,31,1,1,57,39,252,6.5,0,2,12,97.9,8.2,0.00%
2012,31,Andre Brown (NYG),73,385,5.3,31,3,8,17,12,86,7.2,0,0,10,97.1,9.7,0.00%
2012,32,Pierre Thomas (NO),105,473,4.5,48,2,1,53,39,354,9.1,1,0,15,94.7,6.3,0.00%
2012,33,Mark Ingram II (NO),156,602,3.9,31,4,5,10,6,29,4.8,0,0,16,93.1,5.8,1.00%
2012,34,Felix Jones (DAL),111,402,3.6,22,1,3,36,25,262,10.5,2,2,16,92.4,5.8,0.00%
2012,35,Knowshon Moreno (DEN),138,525,3.8,20,1,4,26,21,167,8,0,1,8,91.2,11.4,0.00%
2012,36,Jacquizz Rodgers (ATL),94,362,3.9,43,2,1,59,53,402,7.6,1,0,16,88.4,5.5,0.00%
2012,37,Mike Tolbert (CAR),54,183,3.4,13,0,7,39,27,268,9.9,0,0,16,87.1,5.4,0.00%
2012,38,Marcel Reece (OAK),59,271,4.6,17,0,0,73,52,496,9.5,1,0,16,82.7,5.2,0.00%
2012,39,Bilal Powell (NYJ),110,437,4,18,0,4,36,17,140,8.2,0,0,14,81.7,5.8,1.00%
2012,40,Fred Jackson (BUF),115,437,3.8,15,0,3,42,34,217,6.4,1,4,10,81.4,8.1,0.00%
2012,41,Jonathan Dwyer (PIT),156,623,4,34,3,2,25,18,106,5.9,0,2,13,80.9,6.2,0.00%
2012,42,Bryce Brown (PHI),115,564,4.9,65,6,4,19,13,56,4.3,0,3,16,80,5,0.00%
2012,43,Michael Bush (CHI),114,411,3.6,20,2,5,11,9,83,9.2,0,1,13,77.4,6,0.00%
2012,44,Isaac Redman (PIT),110,410,3.7,28,3,2,23,19,244,12.8,0,3,14,71.4,5.1,0.00%
2012,45,LaRod Stephens-Howling (ARI),110,356,3.2,52,3,4,30,17,106,6.2,0,0,14,70.2,5,0.00%
2012,46,Daniel Thomas (MIA),91,325,3.6,20,2,4,22,15,156,10.4,0,2,12,68.1,5.7,0.00%
2012,47,David Wilson (NYG),71,358,5,52,5,4,9,4,34,8.5,1,1,16,67.2,4.2,0.00%
2012,48,Jackie Battle (LAC),95,311,3.3,52,2,3,15,15,108,7.2,1,0,16,65.9,4.1,0.00%
2012,49,Bernard Pierce (BAL),108,532,4.9,78,3,1,11,7,47,6.7,0,0,16,63.9,4,0.00%
2012,50,Maurice Jones-Drew (JAC),86,414,4.8,59,3,1,18,14,86,6.1,1,0,6,62,10.3,0.00%
2012,50,Shane Vereen (NE),62,251,4,16,0,3,13,8,149,18.6,1,1,13,62,4.8,0.00%
2011,1,Ray Rice (BAL),291,"1,364",4.7,70,9,12,104,76,704,9.3,3,2,16,296.8,18.5,0.00%
2011,2,LeSean McCoy (PHI),273,"1,309",4.8,60,14,17,69,48,315,6.6,3,1,15,280.4,18.7,2.00%
2011,3,Maurice Jones-Drew (JAC),343,"1,606",4.7,56,9,8,63,43,374,8.7,3,1,16,262,16.4,0.00%
2011,4,Arian Foster (HOU),278,"1,224",4.4,43,7,10,72,53,617,11.6,2,3,13,250.1,19.2,0.00%
2011,5,Marshawn Lynch (SEA),285,"1,204",4.2,47,4,12,41,28,212,7.6,1,2,15,215.6,14.4,0.70%
2011,6,Michael Turner (ATL),301,"1,340",4.5,81,11,11,26,17,168,9.9,0,2,16,212.8,13.3,0.00%
2011,7,Adrian Peterson (MIN),208,970,4.7,54,7,12,23,18,139,7.7,1,0,12,188.9,15.7,1.90%
2011,8,Ryan Mathews (LAC),222,"1,091",4.9,39,9,6,59,50,455,9.1,0,2,14,186.6,13.3,0.00%
2011,9,Michael Bush (OAK),256,977,3.8,44,5,7,47,37,418,11.3,1,1,16,185.5,11.6,0.00%
2011,10,Darren Sproles (NO),87,603,6.9,36,7,2,112,86,710,8.3,7,0,16,185.3,11.6,0.10%
2011,11,Steven Jackson (LAR),260,"1,145",4.4,47,6,5,58,42,333,7.9,1,1,15,181.8,12.1,0.00%
2011,12,Frank Gore (SF),282,"1,211",4.3,55,11,8,31,17,114,6.7,0,2,16,176.5,11,8.40%
2011,13,Reggie Bush (MIA),216,"1,086",5,76,7,6,52,43,296,6.9,1,2,15,176.2,11.7,0.00%
2011,14,Fred Jackson (BUF),170,934,5.5,80,10,6,50,39,442,11.3,0,2,10,169.6,17,0.00%
2011,15,Matt Forte (CHI),203,997,4.9,46,12,3,76,52,490,9.4,1,2,12,168.7,14.1,19.10%
2011,16,Chris Johnson (TEN),262,"1,047",4,48,11,4,79,57,418,7.3,0,1,16,168.5,10.5,0.60%
2011,17,Beanie Wells (ARI),245,"1,047",4.3,71,5,10,16,10,52,5.2,0,2,14,165.9,11.9,0.00%
2011,18,Shonn Greene (NYJ),253,"1,054",4.2,31,4,6,41,30,211,7,0,0,16,162.5,10.2,0.00%
2011,19,Rashard Mendenhall (PIT),228,928,4.1,68,3,9,28,18,154,8.6,0,1,15,160.2,10.7,0.00%
2011,20,Ahmad Bradshaw (NYG),171,659,3.9,37,3,9,44,34,267,7.9,2,1,12,158.6,13.2,0.00%
2011,21,Willis McGahee (DEN),249,"1,199",4.8,60,10,4,20,12,51,4.3,1,3,15,151,10.1,0.00%
2011,22,Mike Tolbert (LAC),121,490,4,40,3,8,79,54,433,8,2,1,15,150.3,10,0.00%
2011,23,BenJarvus Green-Ellis (NE),181,667,3.7,18,0,11,13,9,159,17.7,0,0,16,148.6,9.3,0.00%
2011,24,Jonathan Stewart (CAR),142,761,5.4,32,6,4,61,47,413,8.8,1,0,16,147.4,9.2,0.00%
2011,25,Cedric Benson (CIN),273,"1,067",3.9,42,4,6,22,15,82,5.5,0,2,15,146.9,9.8,0.00%
2011,26,DeAngelo Williams (CAR),155,836,5.4,74,11,7,25,16,135,8.4,0,0,16,139.1,8.7,0.10%
2011,27,Pierre Thomas (NO),110,562,5.1,33,2,5,59,50,425,8.5,1,1,16,132.7,8.3,0.00%
2011,28,Ben Tate (HOU),175,942,5.4,56,6,4,19,13,98,7.5,0,3,15,122,8.1,0.00%
2011,29,DeMarco Murray (DAL),164,897,5.5,91,7,2,35,26,183,7,0,0,13,120,9.2,0.10%
2011,30,Brandon Jacobs (NYG),152,571,3.8,28,1,7,23,15,128,8.5,1,0,14,119.9,8.6,0.00%
2011,31,C.J. Spiller (BUF),107,561,5.2,38,7,4,53,39,269,6.9,2,0,16,119,7.4,0.10%
2011,32,LeGarrette Blount (TB),184,781,4.2,54,4,5,25,15,148,9.9,0,3,14,116.9,8.4,0.10%
2011,33,Roy Helu (WAS),151,640,4.2,28,4,2,59,49,379,7.7,1,2,15,115.9,7.7,0.00%
2011,34,Darren McFadden (OAK),113,614,5.4,70,8,4,23,19,154,8.1,1,1,7,104.8,15,7.00%
2011,35,Donald Brown (IND),134,645,4.8,80,4,5,19,16,86,5.4,0,0,16,103.1,6.4,0.00%
2011,36,Ryan Grant (GB),134,559,4.2,47,2,2,24,19,268,14.1,1,1,15,98.7,6.6,0.00%
2011,37,Toby Gerhart (MIN),109,531,4.9,67,3,1,28,23,190,8.3,3,0,16,96.1,6,0.00%
2011,38,Kevin Smith (DET),72,356,4.9,43,2,4,28,22,179,8.1,3,1,7,93.5,13.4,0.00%
2011,39,LaDainian Tomlinson (NYJ),75,280,3.7,20,1,1,61,42,449,10.7,2,0,14,90.9,6.5,0.00%
2011,40,Dexter McCluster (KC),114,516,4.5,32,4,1,64,46,328,7.1,1,3,16,90.4,5.7,0.00%
2011,41,Peyton Hillis (CLE),161,587,3.6,24,1,3,34,22,130,5.9,0,1,10,87.7,8.8,0.00%
2011,42,Jahvid Best (DET),84,390,4.6,88,2,2,40,27,287,10.6,1,0,6,85.7,14.3,0.00%
2011,43,James Starks (GB),133,578,4.3,40,5,1,37,29,216,7.4,0,1,13,83.4,6.4,0.00%
2011,44,Felix Jones (DAL),127,575,4.5,40,4,1,44,33,221,6.7,0,2,12,81.6,6.8,0.00%
2011,45,Marion Barber (CHI),114,422,3.7,29,2,6,9,5,50,10,0,1,11,81.2,7.4,0.00%
2011,46,Mark Ingram II (NO),122,474,3.9,35,2,5,13,11,46,4.2,0,1,10,80,8,1.00%
2011,47,Kendall Hunter (SF),112,473,4.2,44,3,2,26,16,195,12.2,0,0,16,78.8,4.9,0.00%
2011,48,Jackie Battle (KC),149,597,4,34,3,2,13,9,68,7.6,0,0,15,78.5,5.2,0.00%
2011,49,Isaac Redman (PIT),110,479,4.4,27,3,3,22,18,78,4.3,0,2,16,69.7,4.4,0.00%
2011,50,Daniel Thomas (MIA),165,581,3.5,28,2,0,16,12,72,6,1,1,13,69.3,5.3,0.00%
2010,1,Arian Foster (HOU),327,"1,616",4.9,74,12,16,84,66,604,9.2,2,2,16,326,20.4,0.00%
2010,2,Adrian Peterson (MIN),283,"1,298",4.6,80,9,12,50,36,341,9.5,1,1,15,239.9,16,1.90%
2010,3,Jamaal Charles (KC),230,"1,467",6.4,80,10,5,64,45,468,10.4,3,2,16,237.5,14.8,0.10%
2010,4,Peyton Hillis (CLE),270,"1,177",4.4,48,5,11,77,61,477,7.8,2,5,16,233.9,14.6,0.00%
2010,5,Chris Johnson (TEN),316,"1,364",4.3,76,13,11,57,44,245,5.6,1,2,16,228.9,14.3,0.60%
2010,6,Darren McFadden (OAK),223,"1,157",5.2,57,14,7,61,47,507,10.8,3,3,13,220.4,17,7.00%
2010,7,LeSean McCoy (PHI),207,"1,080",5.2,62,7,7,90,78,592,7.6,2,1,15,219.2,14.6,2.00%
2010,8,Rashard Mendenhall (PIT),324,"1,273",3.9,50,11,13,34,23,167,7.3,0,2,16,218,13.6,0.00%
2010,9,Matt Forte (CHI),237,"1,069",4.5,68,9,6,70,51,547,10.7,3,2,16,213.6,13.4,19.10%
2010,9,Michael Turner (ATL),334,"1,371",4.1,55,9,12,20,12,85,7.1,0,2,16,213.6,13.4,0.00%
2010,9,Ray Rice (BAL),307,"1,220",4,50,4,5,83,63,556,8.8,1,0,16,213.6,13.3,0.00%
2010,12,Maurice Jones-Drew (JAC),299,"1,324",4.4,37,8,5,44,34,317,9.3,2,2,14,200.1,14.3,0.00%
2010,13,Steven Jackson (LAR),330,"1,241",3.8,42,7,6,61,46,383,8.3,0,1,16,196.4,12.3,0.00%
2010,14,Ahmad Bradshaw (NYG),276,"1,235",4.5,48,13,8,58,47,314,6.7,0,6,16,192.9,12.1,0.00%
2010,15,BenJarvus Green-Ellis (NE),229,"1,008",4.4,33,4,13,16,12,85,7.1,0,0,16,187.3,11.7,0.00%
2010,16,Cedric Benson (CIN),321,"1,111",3.5,26,2,7,37,28,178,6.4,1,5,16,168.9,10.6,0.00%
2010,17,LaDainian Tomlinson (NYJ),219,914,4.2,31,5,6,79,52,368,7.1,0,0,15,164.2,10.9,0.00%
2010,18,Knowshon Moreno (DEN),182,779,4.3,35,3,5,48,37,372,10.1,3,2,13,159.1,12.2,0.00%
2010,19,Mike Tolbert (LAC),182,735,4,36,6,11,29,25,216,8.6,0,3,15,157.1,10.5,0.00%
2010,20,Frank Gore (SF),203,853,4.2,64,6,3,72,46,452,9.8,2,2,11,156.5,14.2,8.40%
2010,21,Fred Jackson (BUF),222,927,4.2,39,6,5,54,31,215,6.9,2,2,16,152.2,9.5,0.00%
2010,22,Brandon Jacobs (NYG),147,823,5.6,73,10,9,13,7,59,8.4,0,2,16,138.2,8.6,0.00%
2010,22,Jahvid Best (DET),171,555,3.2,45,3,4,80,58,487,8.4,2,1,16,138.2,8.6,0.00%
2010,24,Thomas Jones (KC),245,896,3.7,70,3,6,20,14,122,8.7,0,1,16,135.8,8.5,0.00%
2010,25,Felix Jones (DAL),185,800,4.3,34,3,1,52,48,450,9.4,1,1,16,135,8.4,0.00%
2010,26,Michael Bush (OAK),158,655,4.1,30,5,8,24,18,194,10.8,0,0,14,132.9,9.5,0.00%
2010,27,LeGarrette Blount (TB),201,"1,007",5,53,10,6,7,5,14,2.8,0,3,13,132.1,10.2,0.10%
2010,28,Brandon Jackson (GB),190,703,3.7,71,2,3,50,43,342,8,1,0,16,128.5,8,0.00%
2010,29,Danny Woodhead (NE),97,547,5.6,36,3,5,44,34,379,11.1,1,1,15,126.6,8.4,20.60%
2010,30,Ronnie Brown (MIA),200,734,3.7,51,1,5,42,33,242,7.3,0,2,16,123.6,7.7,0.00%
2010,31,Ryan Torain (WAS),164,742,4.5,54,7,4,27,18,125,6.9,2,1,10,120.7,12.1,0.00%
2010,32,Ryan Mathews (LAC),158,678,4.3,31,4,7,26,22,145,6.6,0,3,12,118.3,9.9,0.00%
2010,33,Marshawn Lynch (SEA),202,737,3.6,39,5,6,26,22,145,6.6,0,4,16,116.2,7.3,0.70%
2010,34,Tim Hightower (ARI),153,736,4.8,80,8,5,42,21,136,6.5,0,4,16,109.2,6.8,0.00%
2010,35,Chris Ivory (NO),137,716,5.2,55,5,5,1,1,17,17,0,2,12,99.3,8.3,0.00%
2010,36,Jonathan Stewart (CAR),178,770,4.3,48,5,2,14,8,103,12.9,1,4,14,97.3,7,0.00%
2010,37,Shonn Greene (NYJ),185,766,4.1,23,1,2,24,16,120,7.5,0,2,15,96.6,6.4,0.00%
2010,38,Ricky Williams (MIA),159,673,4.2,45,3,2,30,19,141,7.4,1,2,16,95.4,6,0.00%
2010,39,Cadillac Williams (TB),125,437,3.5,45,3,2,64,46,355,7.7,1,1,16,95.2,6,0.00%
2010,40,Jason Snelling (ATL),87,324,3.7,30,1,2,51,44,303,6.9,3,0,14,92.7,6.6,0.00%
2010,41,Rashad Jennings (JAC),84,459,5.5,74,1,4,34,26,223,8.6,0,0,13,92.2,7.1,0.00%
2010,42,Justin Forsett (SEA),118,523,4.4,32,5,2,51,33,252,7.6,0,0,16,89.5,5.6,0.00%
2010,43,Mike Goodson (CAR),103,452,4.4,45,3,3,57,40,310,7.8,0,3,16,88.2,5.5,0.00%
2010,44,Keiland Williams (WAS),65,261,4,32,2,3,58,39,309,7.9,2,1,15,85,5.7,0.00%
2010,45,Darren Sproles (LAC),50,267,5.3,34,3,0,75,59,520,8.8,2,3,16,84.7,5.3,0.10%
2010,46,Joseph Addai (IND),116,495,4.3,46,1,4,26,19,124,6.5,0,1,8,83.9,10.5,0.00%
2010,47,Donald Brown (IND),129,497,3.9,49,4,2,28,20,205,10.3,0,0,13,82.2,6.3,0.00%
2010,48,Maurice Morris (DET),90,336,3.7,26,1,5,31,25,170,6.8,0,0,13,80.6,6.2,0.00%
2010,49,Brian Westbrook (SF),77,340,4.4,30,1,4,24,16,150,9.4,1,0,13,79,6.1,0.00%
2010,50,Willis McGahee (BAL),100,380,3.8,30,3,5,17,14,55,3.9,1,2,15,75.5,5,0.00%
2009,1,Chris Johnson (TEN),358,"2,006",5.6,91,22,14,71,50,503,10.1,2,3,16,342.9,21.4,0.60%
2009,2,Adrian Peterson (MIN),314,"1,383",4.4,64,12,18,57,43,436,10.1,0,6,16,277.9,17.4,1.90%
2009,3,Maurice Jones-Drew (JAC),312,"1,391",4.5,80,8,15,71,53,374,7.1,1,1,16,270.5,16.9,0.00%
2009,4,Ray Rice (BAL),254,"1,339",5.3,59,11,7,101,78,702,9,1,3,16,246.1,15.4,0.00%
2009,5,Thomas Jones (NYJ),331,"1,402",4.2,71,8,14,18,10,58,5.8,0,0,16,230,14.4,0.00%
2009,6,Frank Gore (SF),229,"1,120",4.9,80,11,10,75,52,406,7.8,3,2,14,226.6,16.2,8.40%
2009,7,Ricky Williams (MIA),241,"1,121",4.7,68,4,11,53,35,264,7.5,2,2,16,212.5,13.3,0.00%
2009,8,Ryan Grant (GB),282,"1,253",4.4,62,8,11,30,25,197,7.9,0,1,16,209,13.1,0.00%
2009,9,Joseph Addai (IND),219,828,3.8,21,2,10,63,51,336,6.6,3,1,15,197.3,13.2,0.00%
2009,10,Steven Jackson (LAR),324,"1,416",4.4,58,10,4,75,51,322,6.3,0,2,15,193.8,12.9,0.00%
2009,11,Jonathan Stewart (CAR),221,"1,133",5.1,67,11,10,26,18,139,7.7,1,2,16,189.2,11.8,0.00%
2009,12,Jamaal Charles (KC),190,"1,120",5.9,76,9,7,56,40,297,7.4,1,3,15,185.7,12.4,0.10%
2009,13,Rashard Mendenhall (PIT),242,"1,108",4.6,60,9,7,32,25,261,10.4,1,3,16,178.9,11.2,0.00%
2009,14,DeAngelo Williams (CAR),216,"1,117",5.2,77,7,7,41,29,252,8.7,0,3,13,174.9,13.5,0.10%
2009,15,Cedric Benson (CIN),301,"1,251",4.2,42,10,6,24,17,111,6.5,0,0,13,172.2,13.2,0.00%
2009,16,Fred Jackson (BUF),237,"1,062",4.5,43,5,2,60,46,371,8.1,2,2,16,168.4,10.5,0.00%
2009,17,Knowshon Moreno (DEN),247,947,3.8,36,2,7,41,28,213,7.6,2,4,16,162,10.1,0.00%
2009,18,Matt Forte (CHI),258,929,3.6,61,3,4,72,57,471,8.3,0,3,16,160,10,19.10%
2009,19,LaDainian Tomlinson (LAC),223,730,3.3,36,3,12,30,20,154,7.7,0,2,14,156.4,11.2,0.00%
2009,20,Pierre Thomas (NO),147,793,5.4,34,7,6,45,39,302,7.7,2,1,14,155.5,11.1,0.00%
2009,21,Marion Barber (DAL),214,932,4.4,35,5,7,36,26,221,8.5,0,2,15,153.3,10.2,0.00%
2009,22,Michael Turner (ATL),178,871,4.9,58,9,10,7,5,35,7,0,2,11,146.6,13.3,0.00%
2009,23,Jerome Harrison (CLE),194,862,4.4,71,3,5,50,34,220,6.5,2,2,14,146.2,10.4,0.00%
2009,24,Cadillac Williams (TB),211,823,3.9,35,7,4,39,28,217,7.8,3,0,16,146,9.1,0.00%
2009,25,Willis McGahee (BAL),109,544,5,77,3,12,22,15,85,5.7,2,1,16,144.9,9.1,0.00%
2009,26,Tim Hightower (ARI),143,598,4.2,50,2,8,80,63,428,6.8,0,4,16,142.6,8.9,0.00%
2009,27,Kevin Smith (DET),217,747,3.4,31,2,4,57,41,415,10.1,1,2,13,142.2,10.9,0.00%
2009,28,Ahmad Bradshaw (NYG),163,778,4.8,38,6,7,30,21,207,9.9,0,2,15,136.5,9.1,0.00%
2009,29,Brandon Jacobs (NYG),224,835,3.7,31,2,5,31,18,184,10.2,1,1,15,135.9,9.1,0.00%
2009,30,Laurence Maroney (NE),194,757,3.9,45,2,9,17,14,99,7.1,0,4,15,131.6,8.8,0.00%
