RK,Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
147,N. CarterATL,RB,7,9,60,6.7,12,0,0,8.6,1,1,3
152,C. KinerARI,RB,4,12,58,4.8,9,0,0,14.5,0,0,4
153,C. WentzMIN,QB,5,11,57,5.2,16,0,0,11.4,1,0,3
154,J. JohnsonWSH,QB,5,12,55,4.6,13,0,1,11,2,1,4
155,K. HerbertNYJ,RB,7,16,52,3.3,7,0,0,7.4,0,0,2
156,T. TuckerLV,WR,17,11,51,4.6,10,0,0,3,0,0,1
157,J. Milton IIIDAL,QB,4,5,50,10,23,1,0,12.5,1,1,1
158,K. NwangwuNYJ,RB,12,13,49,3.8,16,0,0,4.1,0,0,2
158,B. CookNYJ,QB,5,13,49,3.8,12,0,0,9.8,1,0,4
158,W. ShipleyPHI,RB,15,14,49,3.5,20,1,0,3.3,0,0,4
158,M. GoldenGB,WR,14,10,49,4.9,9,0,0,3.5,0,0,3
162,M. AndrewsBAL,TE,17,10,48,4.8,35,1,1,2.8,0,0,7
162,E. HullNO,RB,6,19,48,2.5,8,0,0,8,0,0,2
164,T. ChandlerMIN,RB,3,17,47,2.8,5,0,0,15.7,0,0,1
164,H. HaskinsLAC,RB,12,17,47,2.8,10,0,0,3.9,0,0,4
166,R. RiversLAR,RB,11,9,46,5.1,9,0,0,4.2,0,0,3
167,J. GoffDET,QB,17,19,45,2.4,24,1,0,2.6,3,2,5
167,T. BrooksCIN,RB,16,16,45,2.8,7,0,0,2.8,0,0,1
169,A. PrenticeDEN,FB,17,10,44,4.4,18,0,0,2.6,0,0,7
169,A. DulinIND,WR,12,3,44,14.7,22,1,0,3.7,0,0,2
171,A. EkelerWSH,RB,2,14,43,3.1,6,0,0,21.5,0,0,3
171,T. TagovailoaMIA,QB,14,20,43,2.2,8,0,0,3.1,6,0,1
171,C. HeywardPIT,FB,17,15,43,2.9,29,1,2,2.5,0,0,11
174,J. BurrowCIN,QB,8,14,41,2.9,9,0,0,5.1,0,0,5
175,J. ChestnutTEN,RB,17,11,40,3.6,27,1,0,2.4,0,0,4
176,J. BrowningCIN,QB,5,9,39,4.3,13,0,1,7.8,0,0,5
177,B. BrownCHI,RB,3,5,37,7.4,22,1,1,12.3,0,0,2
177,S. WilliamsGB,WR,12,11,37,3.4,16,0,0,3.1,1,1,1
177,L. Burden IIICHI,WR,15,6,37,6.2,15,0,0,2.5,0,0,3
180,T. WilliamsLAC/CLE,RB,7,10,36,3.6,11,0,0,5.1,0,0,3
180,D. PierceHOU/KC,RB,5,14,36,2.6,10,0,0,7.2,0,0,1
180,J. Smith-NjigbaSEA,WR,17,7,36,5.1,11,0,0,2.1,0,0,2
183,J. FlaccoCIN/CLE,QB,13,21,35,1.7,13,0,1,2.7,0,0,9
183,B. MeltonGB,WR,16,5,35,7,17,0,0,2.2,0,0,2
185,I. WilliamsNYJ,WR,15,3,34,11.3,25,1,0,2.3,0,0,1
186,V. Jones Jr.SEA/NO,WR,8,4,32,8,25,1,0,4,0,0,1
186,Z. WhiteLV,RB,6,12,32,2.7,9,0,0,5.3,0,0,1
188,D. BrownJAX,WR,14,6,30,5,9,0,0,2.1,1,1,2
189,I. BondCLE,WR,16,5,29,5.8,9,0,0,1.8,0,0,1
190,J. ReedGB,WR,7,3,28,9.3,15,0,0,4,0,0,1
190,J. WaddleMIA,WR,16,2,28,14,21,1,0,1.8,0,0,1
192,R. LeonardIND,QB,5,6,27,4.5,11,0,2,5.4,0,0,4
193,D. OgunbowaleHOU,RB,17,11,25,2.3,9,0,1,1.5,0,0,1
193,D. JohnsonARI/NE,RB,8,14,25,1.8,5,0,0,3.1,0,0,0
193,O. ZaccheausCHI,WR,16,4,25,6.3,12,0,0,1.6,0,0,1
193,R. FlournoyDAL,WR,16,4,25,6.3,12,0,0,1.6,0,0,2
197,E. MooreBUF,WR,9,6,24,4,11,0,1,2.7,0,0,3
197,T. GoodsonIND,RB,11,9,24,2.7,6,0,0,2.2,0,0,0
197,R. AliBAL,RB,15,7,24,3.4,9,0,0,1.6,0,0,1
200,J. WinstonNYG,QB,3,7,23,3.3,11,0,1,7.7,0,0,3
200,C. TuneGB,QB,2,5,23,4.6,16,0,0,11.5,0,0,2
200,T. BadieDEN,RB,16,8,23,2.9,7,0,0,1.4,0,0,1
203,K. PickettLV,QB,6,5,22,4.4,9,0,0,3.7,1,1,3
203,T. JohnsonTB,WR,16,7,22,3.1,6,0,0,1.4,0,0,0
203,X. HutchinsonHOU,WR,17,3,22,7.3,9,0,0,1.3,0,0,2
206,D. DallasCAR/JAX,RB,6,3,21,7,17,0,0,3.5,0,0,1
206,D. DouglasNE,WR,17,7,21,3,14,0,0,1.2,0,0,2
206,B. Thomas Jr.JAX,WR,14,3,21,7,9,0,1,1.5,0,0,2
209,R. RiceKC,WR,8,5,20,4,7,0,1,2.5,1,0,2
209,J. WrightSEA,RB,1,5,20,4,10,0,0,20,0,0,1
211,K. RaymondDET,WR,15,2,19,9.5,10,0,0,1.3,0,0,1
211,S. ShepardTB,WR,13,4,19,4.8,11,0,0,1.5,0,0,1
211,C. AkersSEA/MIN,RB,6,5,19,3.8,14,0,0,3.2,0,0,1
