RK,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
278,Will DisslyLAC,TE,9,11,16,97,8.8,0,18,0,10.8,0,0,66,5
279,Tyler AllgeierATL,RB,17,14,16,96,6.9,0,31,2,5.6,0,0,120,3
280,Casey WashingtonATL,WR,7,6,14,94,15.7,0,25,1,13.4,0,0,12,6
281,Konata MumpfieldLAR,WR,17,10,23,92,9.2,1,19,0,5.4,0,0,25,7
281,Darius CooperPHI,WR,13,9,11,92,10.2,0,19,0,7.1,0,0,22,6
283,Taysom HillNO,QB,13,11,16,91,8.3,0,17,0,7,0,0,86,2
283,Chris BrooksGB,RB,17,13,17,91,7,0,16,0,5.4,0,0,106,3
283,Tanner ConnerMIA,TE,9,9,15,91,10.1,0,28,1,10.1,0,0,39,3
286,Cody WhiteSEA,WR,10,3,4,90,30,1,60,2,9,0,0,58,2
286,Brevyn Spann-FordDAL,TE,17,9,13,90,10,1,31,2,5.3,0,0,33,4
288,Hunter RenfrowCAR,WR,6,15,26,89,5.9,2,15,0,14.8,0,0,24,8
288,Nick Westbrook-IkhineMIA,WR,15,11,20,89,8.1,0,18,0,5.9,0,0,28,8
290,Samaje PerineCIN,RB,15,17,21,87,5.1,0,16,0,5.8,0,0,109,5
290,Skyy MooreSF,WR,17,5,7,87,17.4,0,23,2,5.1,0,0,29,5
290,Jahdae WalkerCHI,WR,9,6,10,87,14.5,2,25,1,9.7,0,0,8,4
293,Ray DavisBUF,RB,17,10,13,86,8.6,2,21,1,5.1,0,0,99,7
293,Malik HeathGB,WR,11,6,7,86,14.3,0,37,1,7.8,0,0,29,4
295,Luke FarrellSF,TE,17,11,14,85,7.7,2,11,0,5,1,1,52,6
295,Hunter LongJAX,TE,9,12,17,85,7.1,2,11,0,9.4,1,0,31,5
297,Noah BrownWSH,WR,4,5,10,83,16.6,0,28,1,20.8,0,0,11,3
298,Curtis SamuelBUF,WR,6,7,9,81,11.6,1,21,2,13.5,0,0,27,5
299,Malachi CorleyCLE,WR,13,11,14,79,7.2,0,19,0,6.1,0,0,68,4
299,Bhayshul TutenJAX,RB,15,10,14,79,7.9,2,24,1,5.3,0,0,80,3
301,Savion WilliamsGB,WR,12,10,10,78,7.8,1,33,1,6.5,0,0,61,3
302,Dare OgunbowaleHOU,RB,17,10,13,76,7.6,0,18,0,4.5,1,1,56,3
302,Grant CalcaterraPHI,TE,15,9,13,76,8.4,1,16,0,5.1,0,0,31,4
302,Cade StoverHOU,TE,9,12,16,76,6.3,0,11,0,8.4,0,0,52,4
302,Mason TiptonNO,WR,14,11,17,76,6.9,0,12,0,5.4,0,0,37,4
306,Efton Chism IIINE,WR,8,3,3,75,25,1,35,2,9.4,0,0,40,3
307,John FitzPatrickGB,TE,15,12,15,72,6,1,11,0,4.8,0,0,57,4
308,Gage LarvadainCLE,WR,13,7,14,71,10.1,0,14,0,5.5,0,0,28,3
309,Raheem MostertLV,RB,12,12,12,70,5.8,0,18,0,5.8,0,0,86,6
309,Allen LazardNYJ,WR,10,10,18,70,7,1,10,0,7,0,0,33,4
311,Ray-Ray McCloud IIIATL/NYG,WR,6,7,15,69,9.9,0,24,1,11.5,0,0,51,4
311,Ben SkowronekPIT,WR,17,4,6,69,17.3,1,22,2,4.1,0,0,23,4
313,Jacory Croskey-MerrittWSH,RB,17,9,13,68,7.6,0,28,1,4,0,0,77,3
313,Rasheen AliBAL,RB,15,9,11,68,7.6,1,30,1,4.5,0,0,83,2
